sequence_pattern,total_occurrences,most_likely_next_action,predictive_strength,unique_tickers,unique_managers,next_action_breakdown,pattern_score
Reduce → Reduce → Reduce,5778,Reduce,56.265143648321214,835,82,"{'Reduce': 3251, 'Add': 1619, 'Buy': 416, 'Sell': 492}",39963.367972477005
Add → Reduce → Reduce,3353,Reduce,52.549955263942735,957,82,"{'Add': 1048, 'Reduce': 1762, 'Sell': 281, 'Buy': 262}",34979.56668930589
Reduce → Add → Reduce,3130,Reduce,51.46964856230032,854,82,"{'Reduce': 1611, 'Add': 995, 'Buy': 259, 'Sell': 265}",33970.000953080984
Reduce → Reduce → Add,3099,Reduce,50.88738302678283,893,82,"{'Reduce': 1577, 'Buy': 243, 'Add': 1014, 'Sell': 265}",33544.17159950193
Sell → Reduce → Reduce,800,Reduce,56.125,484,81,"{'Buy': 74, 'Reduce': 449, 'Add': 203, 'Sell': 74}",30389.08049044436
Add → Add → Add,2776,Add,45.64121037463977,734,82,"{'Add': 1267, 'Reduce': 1043, 'Sell': 253, 'Buy': 213}",29674.036319131264
Reduce → Add → Add,2424,Reduce,44.92574257425743,845,82,"{'Add': 940, 'Buy': 175, 'Reduce': 1089, 'Sell': 220}",28709.359853766568
Add → Add → Reduce,2641,Reduce,44.41499432033321,909,82,"{'Reduce': 1173, 'Add': 1007, 'Sell': 237, 'Buy': 224}",28695.23352450632
Add → Reduce → Add,2504,Reduce,44.68849840255591,845,82,"{'Buy': 203, 'Add': 976, 'Reduce': 1119, 'Sell': 206}",28676.737593412206
Reduce → Buy → Reduce,779,Reduce,50.19255455712452,482,82,"{'Reduce': 391, 'Add': 233, 'Buy': 63, 'Sell': 92}",27402.971778268027
Reduce → Sell → Reduce,815,Reduce,49.693251533742334,471,81,"{'Add': 212, 'Reduce': 405, 'Sell': 94, 'Buy': 104}",26981.36025213086
Buy → Reduce → Reduce,851,Reduce,47.35605170387779,532,81,"{'Reduce': 403, 'Add': 236, 'Buy': 98, 'Sell': 114}",25878.158767687502
Add → Add → Buy,536,Add,46.82835820895522,402,82,"{'Add': 251, 'Sell': 46, 'Reduce': 181, 'Buy': 58}",24130.60621327598
Reduce → Reduce → Sell,923,Reduce,43.55362946912243,592,81,"{'Add': 287, 'Reduce': 402, 'Sell': 107, 'Buy': 127}",24086.8107403989
Reduce → Reduce → Buy,860,Reduce,43.13953488372093,537,82,"{'Add': 303, 'Reduce': 371, 'Buy': 97, 'Sell': 89}",23902.25548205687
Add → Sell → Reduce,559,Reduce,45.796064400715565,411,82,"{'Reduce': 256, 'Add': 189, 'Sell': 58, 'Buy': 56}",23756.445391855428
Buy → Add → Add,746,Add,42.89544235924933,526,82,"{'Add': 320, 'Reduce': 262, 'Buy': 69, 'Sell': 95}",23266.80961787489
Reduce → Sell → Add,614,Reduce,43.48534201954398,452,82,"{'Reduce': 267, 'Add': 217, 'Buy': 74, 'Sell': 56}",22892.405367565723
Add → Buy → Add,638,Add,42.78996865203762,442,82,"{'Buy': 72, 'Reduce': 231, 'Add': 273, 'Sell': 62}",22660.8716004634
Sell → Add → Reduce,607,Reduce,43.163097199341024,453,81,"{'Reduce': 262, 'Sell': 66, 'Add': 223, 'Buy': 56}",22405.568040175403
Reduce → Buy → Add,668,Reduce,41.46706586826348,482,82,"{'Buy': 65, 'Add': 246, 'Reduce': 277, 'Sell': 80}",22116.52718169332
Add → Buy → Reduce,576,Add,42.1875,425,82,"{'Reduce': 222, 'Add': 243, 'Buy': 45, 'Sell': 66}",21988.159938719848
Add → Reduce → Buy,627,Reduce,41.62679425837321,451,82,"{'Reduce': 261, 'Buy': 69, 'Add': 226, 'Sell': 71}",21985.508431040795
Buy → Add → Reduce,732,Reduce,40.43715846994536,514,82,"{'Add': 255, 'Reduce': 296, 'Sell': 100, 'Buy': 81}",21870.59899383456
Add → Sell → Add,563,Add,41.3854351687389,406,82,"{'Buy': 59, 'Sell': 55, 'Reduce': 216, 'Add': 233}",21492.65374338134
Add → Reduce → Sell,657,Reduce,41.24809741248097,469,80,"{'Reduce': 271, 'Sell': 81, 'Buy': 90, 'Add': 215}",21408.369790067936
Sell → Add → Add,581,Reduce,39.93115318416523,432,82,"{'Buy': 62, 'Add': 221, 'Sell': 66, 'Reduce': 232}",20840.45067097259
Reduce → Add → Sell,580,Reduce,39.48275862068966,417,82,"{'Reduce': 229, 'Add': 196, 'Sell': 69, 'Buy': 86}",20600.85202211773
Reduce → Add → Buy,595,Add,40.16806722689076,420,80,"{'Buy': 62, 'Add': 239, 'Reduce': 238, 'Sell': 56}",20529.293121686125
Add → Add → Sell,610,Add,38.36065573770492,456,82,"{'Add': 234, 'Reduce': 203, 'Buy': 96, 'Sell': 77}",20174.00827379135
