manager,manager,total_trades,entry_trades,exit_trades,perfect_entries,perfect_exits,entry_success_rate,exit_success_rate,timing_score,years_active
GFT,Bill & Melinda Gates Foundation Trust,443,326,117,132,93,40.49,79.49,59.99,19
oc,Howard Marks,628,407,221,168,156,41.28,70.59,55.93,4
CM,Greg Alexander,106,44,62,10,51,22.73,82.26,52.49,6
LT,Lindsell Train,325,159,166,19,148,11.95,89.16,50.55,8
TA,Third Avenue Management,921,388,533,52,467,13.4,87.62,50.51,8
T,Torray Funds,941,560,381,82,322,14.64,84.51,49.58,4
AC,Chuck Akre,921,494,427,53,377,10.73,88.29,49.51,14
cc,William Von Mueffling,978,266,712,9,679,3.38,95.37,49.37,8
TFP,Triple Frond Partners,160,70,90,12,73,17.14,81.11,49.13,9
KB,Kahn Brothers Group,957,332,625,28,558,8.43,89.28,48.86,8
SA,Christopher Bloomstran,646,354,292,27,259,7.63,88.7,48.16,8
tp,Daniel Loeb,688,491,197,198,110,40.33,55.84,48.08,6
FPACX,Steven Romick,919,295,624,46,502,15.59,80.45,48.02,9
GR,Thomas Russo,956,292,664,25,579,8.56,87.2,47.88,5
aq,Guy Spier - Aquamarine Capital,38,28,10,7,7,25.0,70.0,47.5,10
OFALX,Robert Olstein,973,459,514,39,444,8.5,86.38,47.44,4
MPGFX,Mairs & Power Growth Fund,947,384,563,28,491,7.29,87.21,47.25,9
MAVFX,David Katz,959,552,407,63,334,11.41,82.06,46.74,4
YAM,Yacktman Asset Management,977,300,677,21,585,7.0,86.41,46.71,5
DAV,Christopher Davis,965,371,594,29,506,7.82,85.19,46.5,4
CAAPX,John Rogers,958,376,582,24,504,6.38,86.6,46.49,10
WP,David Rolfe,928,246,682,19,579,7.72,84.9,46.31,9
TWEBX,Tweedy Browne Co.,767,418,349,100,239,23.92,68.48,46.2,19
VFC,Valley Forge Capital Management,100,79,21,9,17,11.39,80.95,46.17,7
JIM,Jensen Investment Management,972,375,597,25,511,6.67,85.59,46.13,5
AKO,AKO Capital,621,334,287,27,241,8.08,83.97,46.03,7
GLRE,David Einhorn,770,481,289,136,183,28.27,63.32,45.8,9
TF,Nelson Peltz,248,139,109,15,88,10.79,80.73,45.76,11
CAU,Sarah Ketterer,865,523,342,81,257,15.49,75.15,45.32,3
FFH,Prem Watsa,703,527,176,199,93,37.76,52.84,45.3,15
