ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,manager_count,max_portfolio_pct,conviction_score
JOE,St. Joe Co.,56.78,Bruce Berkowitz,963739000,78.54,1,78.54,63.03
CVNA,Carvana Co.,306.54,"Robert Vinall
Clifford Sosin",1826575000,55.78,2,80.82,52.54
IEP,Icahn Enterprises,8.06,Carl Icahn,3980534000,50.47,1,50.47,40.58
LOAR,Loar Holdings Inc,79.13,David Abrams,2761769000,45.17,1,45.17,36.34
AAPL,Apple Inc.,270.37,"David Rolfe
Warren Buffett
Duan Yongping
Jensen Investment Management",65161233000,24.18,4,62.47,31.63
EQH,Equitable Holdings Inc.,49.4,Greg Alexander,280500000,36.51,1,36.51,29.41
JHG,Janus Henderson Group,43.56,Nelson Peltz,1237745000,32.64,1,32.64,26.31
GPI,Group 1 Automotive,397.54,Greg Alexander,248236000,32.31,1,32.31,26.05
ORLA,Orla Mining Ltd,10.32,Prem Watsa,559636000,29.9,1,29.9,24.12
GRBK,Green Brick Partners,64.74,David Einhorn,595309000,25.59,1,25.59,20.67
BRK.A,Berkshire Hathaway CL A,715740.0,"Thomas Gayner
Guy Spier - Aquamarine Capital
Christopher Bloomstran
Norbert Lou
Josh Tarasoff
Francis Chou
Thomas Russo",2348100000,17.22,7,34.28,20.29
FICO,Fair Isaac Corp.,1659.53,"Valley Forge Capital Management
Lindsell Train",1812488000,20.32,2,31.03,19.87
CVI,CVR Energy Inc.,35.59,Carl Icahn,1890736000,23.97,1,23.97,19.38
GTLS,Chart Industries Inc.,199.62,Alex Roepers,45229000,23.08,1,23.08,18.66
HCC,Warrior Met Coal Inc.,67.84,"Third Avenue Management
Mohnish Pabrai",111890000,18.22,2,30.37,18.62
IBKR,Interactive Brokers Group Inc.,70.36,"Robert Vinall
Bryan Lawrence",112111000,19.3,2,28.54,18.61
GE,GE Aerospace,308.95,"Nelson Peltz
Chris Hohn
AKO Capital",13797044000,19.39,3,27.36,18.5
VAL,Valaris plc,56.12,"Third Avenue Management
Mohnish Pabrai",103999000,17.15,2,29.21,17.74
TDG,TransDigm Group Inc.,1308.51,"Bryan Lawrence
AltaRock Partners
Triple Frond Partners",1573801000,17.46,3,27.21,17.49
EL,Estee Lauder Cos.,96.69,Michael Burry,12120000,21.55,1,21.55,17.44
MSFT,Microsoft Corp.,517.81,"Wallace Weitz
Mairs & Power Growth Fund
David Katz
Lee Ainslie
David Rolfe
Bill & Melinda Gates Foundation Trust
Stephen Mandel
Chase Coleman
AltaRock Partners
Chris Hohn",36568265000,11.57,17,27.27,17.37
AXP,American Express,360.73,"Guy Spier - Aquamarine Capital
Warren Buffett",48430534000,20.38,2,21.98,17.18
LULU,Lululemon Athletica Inc.,170.54,Michael Burry,11879000,21.12,1,21.12,17.1
UBER,Uber Technologies Inc.,96.5,Bill Ackman,2827098000,20.59,1,20.59,16.67
BRK.B,Berkshire Hathaway CL B,477.54,"Thomas Gayner
Guy Spier - Aquamarine Capital
Christopher Bloomstran
Li Lu
Bill & Melinda Gates Foundation Trust
Duan Yongping
Thomas Russo
Francois Rochon",15567349000,14.36,8,24.53,16.14
CHTR,Charter Communications,233.84,"Tom Bancroft
Triple Frond Partners",125820000,16.3,2,24.89,16.02
AMZN,Amazon.com Inc.,244.22,"Mairs & Power Growth Fund
David Tepper
Lee Ainslie
ValueAct Capital
Daniel Loeb
Bill Ackman
Stephen Mandel
Chase Coleman
AltaRock Partners
Josh Tarasoff",12878159000,10.98,13,25.14,15.63
YETI,YETI Holdings Inc.,33.99,Glenn Welling,68163000,19.06,1,19.06,15.45
AMR,Alpha Metallurgical Resources Inc.,173.26,Mohnish Pabrai,51778000,19.06,1,19.06,15.45
EVH,Evolent Health Inc.,6.67,Glenn Welling,65921000,18.43,1,18.43,14.94
SGOV,Ishares 0 3 Month Treasury B,100.72,Norbert Lou,56991000,18.39,1,18.39,14.91
BRKR,Bruker Corp.,38.94,Michael Burry,10300000,18.31,1,18.31,14.85
SPGI,S&P Global Inc.,487.21,"Valley Forge Capital Management
Chris Hohn",6773948000,15.98,2,20.44,14.52
VFC,V.F. Corp.,14.04,Glenn Welling,63654000,17.8,1,17.8,14.44
LAD,Lithia Motors Inc.,314.08,"Bill Nygren
Greg Alexander
David Abrams",1437011000,13.95,3,21.98,14.17
CROX,Crocs Inc.,81.69,Norbert Lou,53791000,17.36,1,17.36,14.09
GM,General Motors,69.09,Greenhaven Associates,1164031000,17.32,1,17.32,14.06
TRMD,Torm Plc,21.95,Howard Marks,681588000,17.26,1,17.26,14.01
SOLV,Solventum Corp,69.04,Nelson Peltz,641820000,16.93,1,16.93,13.74
NE,Noble Corp.,29.35,Mohnish Pabrai,45898000,16.9,1,16.9,13.72
GIL,Gildan Activewear Inc.,58.29,Bryan Lawrence,33566000,16.77,1,16.77,13.62
BBWI,Bath & Body Works Inc.,24.48,Tom Bancroft,55098000,16.76,1,16.76,13.61
C,Citigroup Inc.,101.23,"Samantha McLemore
Kahn Brothers Group
Greenhaven Associates",1585345000,13.65,3,20.48,13.57
BN,Brookfield Corp.,46.05,"Chuck Akre
Bill Ackman",3734484000,15.09,2,18.54,13.51
WFRD,Weatherford International plc,73.69,Alex Roepers,32564000,16.62,1,16.62,13.5
META,Meta Platforms Inc.,648.35,"Robert Vinall
Steven Romick
ValueAct Capital
David Rolfe
Stephen Mandel
Chase Coleman
Pat Dorsey
Terry Smith
Triple Frond Partners
Francois Rochon",12417700000,11.27,11,18.78,13.47
BAM,Brookfield Asset Management,54.06,Josh Tarasoff,58894000,16.57,1,16.57,13.46
PTLO,Portillo's Inc Cl A,5.35,Glenn Welling,56388000,15.77,1,15.77,12.82
CP,Canadian Pacific Kansas City,71.95,"Chris Hohn
Sarah Ketterer",5352729000,13.35,2,18.44,12.61
WM,Waste Management Inc.,199.77,Bill & Melinda Gates Foundation Trust,7375863000,15.44,1,15.44,12.55
MA,Mastercard Inc.,551.99,"Guy Spier - Aquamarine Capital
Chuck Akre
Valley Forge Capital Management
AltaRock Partners
Polen Capital Management
Thomas Russo",5680070000,11.6,6,18.43,12.53
COOP-OLD,Mr. Cooper Group Inc.,210.79,Leon Cooperman,426830000,15.0,1,15.0,12.2
EXE,Expand Energy Corp.,103.31,Howard Marks,591993000,15.0,1,15.0,12.2
BAC,Bank of America Corp.,53.45,"Guy Spier - Aquamarine Capital
Charles Bobrinskoy
Li Lu
Warren Buffett",29177719000,11.76,4,18.36,12.19
PDD,Pinduoduo Inc.,134.87,"Robert Vinall
Li Lu
Norbert Lou
Duan Yongping",1472159000,11.78,4,17.93,12.07
RYCEF,Rolls Royce Holdings plc,15.45,Ruane Cunniff,556509000,14.76,1,14.76,12.01
AER,AerCap Holdings N.V.,130.24,Pat Dorsey,159251000,14.28,1,14.28,11.62
GOOG,Alphabet Inc. CL C,281.82,"Thomas Gayner
Wallace Weitz
Li Lu
Bill Ackman
Bryan Lawrence
Pat Dorsey
Seth Klarman
Francis Chou
Triple Frond Partners
Thomas Russo",3850373000,9.52,10,16.17,11.61
CRM,Salesforce.com,260.41,ValueAct Capital,790394000,14.12,1,14.12,11.5
MELI,Mercadolibre Inc.,2327.26,Michael Burry,7841000,13.94,1,13.94,11.35
EPD,Enterprise Products Partners LP,30.79,Bruce Berkowitz,169017000,13.77,1,13.77,11.22
DHR,Danaher Corp.,215.38,"Wallace Weitz
Pat Dorsey",238631000,11.61,2,16.42,11.13
TKO,TKO Group Holdings Inc.,188.4,Lindsell Train,577448000,13.61,1,13.61,11.09
