ticker,company_name,current_price,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,first_reported_date,latest_period,buy_count,last_buy_period,historical_buyers,active_managers,appeal_score,investment_timing,reported_price,_analysis_type,_generated,_periods,_window_quarters
AAPL,Apple Inc.,253.79,"Christopher Bloomstran, Bruce Berkowitz, David Rolfe, Li Lu, Warren Buffett, +1 more",5,18,71994648000,6.05,264822506,50.3,"Jun 29, 2017",Q4 2025,107.0,Q4 2025,30.0,18,8.0,Strong,271.98,interesting_stocks_overview,2026-04-01,Q4 2025,1
MSFT,Microsoft Corp.,370.17,"Viking Global Investors, Daniel Loeb, Bill & Melinda Gates Foundation Trust, Stephen Mandel, David Rolfe, +1 more",5,35,29014352000,5.41,59994020,19.75,"Dec 31, 2014",Q4 2025,228.0,Q4 2025,38.0,35,8.0,Strong,483.62,interesting_stocks_overview,2026-04-01,Q4 2025,1
AMZN,Amazon.com Inc.,208.27,"Viking Global Investors, Daniel Loeb, ValueAct Capital, Bill Ackman, Stephen Mandel, +1 more",5,31,19440349000,6.74,84222973,33.1,"Dec 31, 2014",Q4 2025,194.0,Q4 2025,42.0,31,8.0,Strong,230.82,interesting_stocks_overview,2026-04-01,Q4 2025,1
META,Meta Platforms Inc.,572.13,"Ruane Cunniff, ValueAct Capital, Bill Ackman, David Rolfe, Glenn Greenberg, +1 more",5,25,13017360000,5.22,19720569,20.95,"May 18, 2018",Q4 2025,231.0,Q4 2025,42.0,25,8.0,Strong,660.08,interesting_stocks_overview,2026-04-01,Q4 2025,1
MA,Mastercard Inc.,499.66,"Stephen Mandel, Valley Forge Capital Management, Warren Buffett, Glenn Greenberg, AKO Capital, +1 more",5,16,8175410000,5.67,14320719,19.25,"July 19, 2011",Q4 2025,118.0,Q4 2025,21.0,16,8.0,Strong,570.88,interesting_stocks_overview,2026-04-01,Q4 2025,1
MCO,Moody's Corp.,436.25,"Valley Forge Capital Management, Warren Buffett, Glenn Greenberg, AKO Capital, Chris Hohn, +1 more",5,13,22505981000,5.57,44055946,15.25,"July 19, 2011",Q4 2025,107.0,Q4 2025,16.0,13,8.0,Strong,510.85,interesting_stocks_overview,2026-04-01,Q4 2025,1
BRK.A,Berkshire Hathaway CL A,718140.0,"Christopher Bloomstran, Bruce Berkowitz, Norbert Lou, Josh Tarasoff, Prem Watsa, +1 more",5,13,3448679000,10.34,4569,36.38,"May 25, 2018",Q4 2025,34.0,Q4 2024,11.0,11,8.0,Strong,754801.72,interesting_stocks_overview,2026-04-01,Q4 2025,1
BRK.B,Berkshire Hathaway CL B,479.2,"Ruane Cunniff, Bill & Melinda Gates Foundation Trust, Christopher Bloomstran, Bruce Berkowitz, Li Lu, +1 more",5,20,16472541000,7.58,32771371,33.25,"May 18, 2018",Q4 2025,165.0,Q4 2025,27.0,20,8.0,Strong,502.65,interesting_stocks_overview,2026-04-01,Q4 2025,1
GOOG,Alphabet Inc. CL C,286.86,"Bill Ackman, Li Lu, Glenn Greenberg, David Tepper, Bryan Lawrence, +1 more",5,29,16670836000,6.23,53125661,21.55,"Dec 31, 2014",Q4 2025,173.0,Q4 2025,38.0,29,8.0,Strong,313.8,interesting_stocks_overview,2026-04-01,Q4 2025,1
GOOGL,Alphabet Inc.,287.56,"Bill Nygren, Ruane Cunniff, Viking Global Investors, Bill Ackman, Christopher Bloomstran, +1 more",5,32,20935608000,4.91,66886918,22.31,"May 18, 2018",Q4 2025,186.0,Q4 2025,41.0,32,7.96,Strong,313.0,interesting_stocks_overview,2026-04-01,Q4 2025,1
V,Visa Inc.,302.24,"Viking Global Investors, ValueAct Capital, Stephen Mandel, David Rolfe, Valley Forge Capital Management, +1 more",5,26,21936818000,4.44,62549734,18.12,"July 19, 2011",Q4 2025,163.0,Q4 2025,26.0,26,7.78,Strong,350.71,interesting_stocks_overview,2026-04-01,Q4 2025,1
BN,Brookfield Corp.,40.47,"Daniel Loeb, Bill Ackman, Stephen Mandel, Josh Tarasoff, Chuck Akre, +1 more",5,9,6688137000,7.78,145742792,18.93,"July 19, 2011",Q4 2025,59.0,Q4 2025,14.0,9,7.7,Strong,45.89,interesting_stocks_overview,2026-04-01,Q4 2025,1
ASML,ASML Holding NV,1320.83,"Stephen Mandel, Valley Forge Capital Management, David Tepper, Duan Yongping, Pat Dorsey, +1 more",5,9,1473578000,4.93,1377378,17.89,,Q4 2025,26.0,Q4 2025,9.0,9,7.67,Strong,1069.86,interesting_stocks_overview,2026-04-01,Q4 2025,1
NVDA,NVIDIA Corp.,174.4,"Daniel Loeb, David Tepper, Chase Coleman, Duan Yongping, Samantha McLemore, +1 more",5,14,6904670000,4.15,37022353,9.42,,Q4 2025,64.0,Q4 2025,18.0,14,7.66,Strong,186.5,interesting_stocks_overview,2026-04-01,Q4 2025,1
SPGI,S&P Global Inc.,425.34,"David Rolfe, Valley Forge Capital Management, Glenn Greenberg, Chris Hohn, Wallace Weitz, +1 more",5,9,8105741000,4.7,15510708,20.83,"Dec 31, 2014",Q4 2025,57.0,Q4 2025,13.0,9,7.58,Strong,522.57,interesting_stocks_overview,2026-04-01,Q4 2025,1
AXP,American Express,302.48,"Christopher Bloomstran, Warren Buffett, Thomas Russo, Kahn Brothers Group, Lindsell Train, +1 more",5,11,57008964000,3.77,154099098,20.46,"Apr 26, 2025",Q4 2025,30.0,Q4 2025,17.0,11,7.51,Strong,369.95,interesting_stocks_overview,2026-04-01,Q4 2025,1
COF,Capital One Financial,182.43,"Bill Nygren, Ruane Cunniff, Viking Global Investors, Daniel Loeb, Stephen Mandel, +1 more",5,17,8845010000,3.47,36495321,9.38,"May 18, 2018",Q4 2025,77.0,Q4 2025,22.0,17,7.39,Strong,242.36,interesting_stocks_overview,2026-04-01,Q4 2025,1
BAC,Bank of America Corp.,48.75,"Charles Bobrinskoy, Viking Global Investors, Li Lu, Warren Buffett, Glenn Greenberg, +1 more",5,12,29456557000,3.46,535573730,16.08,,Q4 2025,105.0,Q4 2024,25.0,12,7.39,Strong,55.0,interesting_stocks_overview,2026-04-01,Q4 2025,1
C,Citigroup Inc.,113.41,"Samantha McLemore, Francis Chou, Sarah Ketterer, Kahn Brothers Group, Harry Burn, +1 more",5,8,715650000,4.78,6132926,18.11,,Q4 2025,100.0,Q4 2024,21.0,8,7.31,Strong,116.69,interesting_stocks_overview,2026-04-01,Q4 2025,1
INTU,Intuit Inc.,432.38,"Valley Forge Capital Management, AKO Capital, Terry Smith, Lee Ainslie, Dennis Hong, +1 more",5,10,1697062000,3.13,2561913,10.25,,Q4 2025,64.0,Q4 2025,16.0,10,7.25,Strong,662.42,interesting_stocks_overview,2026-04-01,Q4 2025,1
CHTR,Charter Communications,215.88,"Ruane Cunniff, Warren Buffett, Lee Ainslie, Triple Frond Partners, Wallace Weitz, +1 more",5,9,3053161000,3.87,14625917,26.77,"May 18, 2018",Q4 2025,89.0,Q4 2025,18.0,9,7.25,Strong,208.75,interesting_stocks_overview,2026-04-01,Q4 2025,1
UBER,Uber Technologies Inc.,71.93,"Bill Ackman, David Tepper, Chase Coleman, Thomas Russo, Polen Capital Management, +1 more",5,10,4047124000,3.01,49530317,15.9,"Dec 31, 2014",Q4 2025,65.0,Q4 2025,17.0,10,7.21,Strong,81.71,interesting_stocks_overview,2026-04-01,Q4 2025,1
TSM,Taiwan Semiconductor S.A.,337.95,"Ruane Cunniff, Viking Global Investors, Daniel Loeb, Stephen Mandel, David Rolfe, +1 more",5,21,10671565000,3.03,78303524,10.48,"May 25, 2018",Q4 2025,90.0,Q4 2025,24.0,21,7.21,Strong,303.89,interesting_stocks_overview,2026-04-01,Q4 2025,1
SCHW,Charles Schwab Corp.,93.98,"John Rogers, Bill Nygren, Ruane Cunniff, Viking Global Investors, Lee Ainslie, +1 more",5,11,7958649000,2.95,79658195,5.51,"May 18, 2018",Q4 2025,105.0,Q4 2025,16.0,11,7.18,Strong,99.91,interesting_stocks_overview,2026-04-01,Q4 2025,1
CRM,Salesforce.com,186.67,"Bill Nygren, ValueAct Capital, AKO Capital, Wallace Weitz, Polen Capital Management, +1 more",5,10,2673481000,2.9,10093200,11.29,,Q4 2025,69.0,Q4 2025,16.0,10,7.16,Strong,264.91,interesting_stocks_overview,2026-04-01,Q4 2025,1
DIS,Walt Disney Co.,96.38,"Mason Hawkins, Viking Global Investors, ValueAct Capital, Christopher Bloomstran, Duan Yongping, +1 more",5,17,3287498000,2.82,28897888,10.05,"Dec 31, 2014",Q4 2025,126.0,Q4 2025,28.0,17,7.13,Strong,113.77,interesting_stocks_overview,2026-04-01,Q4 2025,1
