manager,manager,career_length_years,early_stocks,late_stocks,diversification_change,activity_per_year_change,style_change_score,early_buy_ratio,late_buy_ratio,total_activities,evolution_type,evolution_score
LMM,Bill Miller,5,155,25,-130,-265.5,26.522898181673494,44.20880913539968,70.73170731707317,1000,Less Active,422.0228981816735
tp,Daniel Loeb,6,227,89,-138,-126.0,4.270786006360739,55.91397849462365,51.64319248826291,1000,Less Active,268.2707860063607
TGM,Chase Coleman,6,180,66,-114,-112.0,0.8046360376886552,68.71508379888269,67.91044776119402,1000,Less Active,226.80463603768865
FS,Terry Smith,8,35,65,30,50.0,53.02498614812274,86.09271523178808,33.067729083665334,949,More Active,133.02498614812274
YAM,Yacktman Asset Management,5,76,65,-11,-78.5,20.15869893107745,38.107416879795394,17.94871794871795,1000,Less Active,109.65869893107744
BAUPOST,Seth Klarman,11,76,133,57,31.599999999999994,15.6094968107725,56.372549019607845,40.76305220883534,1000,More Active,104.20949681077248
oa,Leon Cooperman,8,129,94,-35,-45.0,12.043103448275868,46.206896551724135,58.25,1000,Less Active,92.04310344827589
AC,Chuck Akre,14,66,39,-27,-37.16666666666666,27.30391288951841,63.28125,35.977337110481585,1000,Less Active,91.47057955618509
TWEBX,Tweedy Browne Co.,19,94,162,68,19.64285714285714,2.751302167758113,48.45360824742268,45.70230607966457,948,More Active,90.39415931061524
SSHFX,Harry Burn,8,53,88,35,48.0,7.278766505371936,36.51685393258427,43.79562043795621,1000,More Active,90.27876650537192
DODGX,Dodge & Cox,6,74,94,20,49.5,14.944996986136228,52.74261603375528,37.79761904761904,1000,More Active,84.44499698613623
LT,Lindsell Train,8,12,31,19,21.75,42.3681031010874,76.92307692307693,34.55497382198953,332,More Active,83.1181031010874
SA,Christopher Bloomstran,8,29,49,20,47.75,12.74782608695652,45.65217391304348,58.4,674,More Active,80.49782608695652
FPPTX,FPA Queens Road Small Cap Value Fund,12,42,75,33,12.25,30.286854308206625,40.92526690391459,71.21212121212122,1000,More Active,75.53685430820663
abc,David Abrams,13,49,27,-22,-16.05,35.63020384725812,62.7906976744186,27.160493827160494,370,Less Active,73.68020384725811
MKL,Thomas Gayner,6,103,95,-8,55.5,10.166666666666668,77.33333333333333,87.5,1000,More Active,73.66666666666667
AM,David Tepper,8,59,99,40,27.75,4.251147847864306,32.947976878612714,37.199124726477024,1000,More Active,72.0011478478643
VFC,Valley Forge Capital Management,7,9,13,4,-4.333333333333334,58.62068965517242,100.0,41.37931034482759,105,Style Shifter,66.95402298850576
CCM,Glenn Greenberg,15,38,59,21,29.0,14.063993271914066,53.66795366795367,39.6039603960396,1000,More Active,64.06399327191406
KB,Kahn Brothers Group,8,49,75,26,22.75,12.347892693626727,44.03669724770643,31.68880455407969,1000,More Active,61.097892693626726
PI,Mohnish Pabrai,17,30,15,-15,-24.94285714285714,20.464569244339906,37.43016759776536,57.89473684210527,340,Less Active,60.40742638719704
FFH,Prem Watsa,15,98,133,35,24.0,0.406504065040647,50.40650406504065,50.0,1000,More Active,59.40650406504065
GLRE,David Einhorn,9,66,78,12,29.0,17.978332885665683,35.61643835616438,53.59477124183007,1000,More Active,58.97833288566568
CM,Greg Alexander,6,24,7,-17,-33.0,8.568646543330088,31.64556962025317,23.07692307692308,130,Less Active,58.56864654333009
TA,Third Avenue Management,8,64,85,21,29.5,5.657228360957639,44.19889502762431,38.54166666666667,1000,More Active,56.15722836095764
fairx,Bruce Berkowitz,19,73,49,-24,-29.38095238095238,0.940226876090744,50.52356020942408,49.583333333333336,822,Less Active,54.32117925704313
AIM,Alex Roepers,14,63,43,-20,-27.5,6.753099353937492,52.53623188405797,45.78313253012048,880,Less Active,54.25309935393749
GFT,Bill & Melinda Gates Foundation Trust,19,114,96,-18,-16.642857142857146,17.398800997400393,60.84142394822006,43.44262295081967,628,Less Active,52.04165814025754
JIM,Jensen Investment Management,5,86,84,-2,-11.0,38.52785145888594,55.76923076923077,17.24137931034483,1000,Less Active,51.52785145888594
CAAPX,John Rogers,10,48,54,6,36.83333333333333,7.6923076923076925,33.4841628959276,41.17647058823529,1000,More Active,50.52564102564102
