manager,total_value,avg_portfolio_pct,position_count,avg_position_value,position_value_std,concentration_ratio,top_holding,top_holding_value,top_holding_pct,diversification_score,first_year,years_active,total_return_pct,annualized_return_pct,_analysis_type,_generated,_periods,_window_quarters
Warren Buffett,274160088000,2.38,42,6527621142.857142,13732255280.799524,2.103715117692769,AAPL,61961735000,22.6,34.6858355752384,2010.0,16.0,359.5,22.47,manager_performance,2026-05-01,Q1 2026,1
Dodge & Cox Funds,185071912000,0.5,200,925359560.0,1421888243.1067476,1.536579189938609,SCHW,7644506000,4.13,100.0,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Bill Nygren,78812397000,0.6,167,471930520.9580838,709454541.4084392,1.503302943764156,GOOGL,2791516000,3.54,92.72216678841504,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
First Eagle Investment Management,56096509000,0.49,200,280482545.0,489848913.2793323,1.7464506152400046,GOOG,2312428000,4.08,100.0,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Chris Hohn,53648816000,11.11,9,5960979555.555555,4468351289.369774,0.7496001701943984,GE,14634638000,27.28,27.56277473806298,2016.0,10.0,159.37,15.94,manager_performance,2026-05-01,Q1 2026,1
Viking Global Investors,37474534000,1.33,75,499660453.3333333,398865505.8922198,0.7982731137341557,MSFT,1556116000,4.15,60.43767170925128,2024.0,2.0,21.0,10.5,manager_performance,2026-05-01,Q1 2026,1
Bill & Melinda Gates Foundation Trust,35360094000,4.35,23,1537395391.3043478,2532776400.1684136,1.6474463332556049,BRK.B,9754810000,27.59,27.254674460463395,2008.0,18.0,455.99,25.33,manager_performance,2026-05-01,Q1 2026,1
Richard Pzena,30791977000,0.64,156,197384467.94871795,323034594.1521198,1.6365755497846304,MGA,1967838000,6.39,86.8613957385369,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Chase Coleman,29714312000,1.85,54,550265037.037037,748959832.7324133,1.361089261213597,GOOGL,3327629000,11.2,45.94599993520789,2021.0,5.0,61.05,12.21,manager_performance,2026-05-01,Q1 2026,1
Polen Capital Management,23399871000,0.5,200,116999355.0,331478534.72210926,2.8331654881525568,AMZN,1997452000,8.53,100.0,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Christopher Davis,22249321000,0.93,108,206012231.4814815,355654079.1381426,1.7263736069482478,COF,2087878000,9.38,66.38962764792913,2024.0,2.0,21.0,10.5,manager_performance,2026-05-01,Q1 2026,1
William Von Mueffling,18493571000,2.7,37,499826243.2432432,304676576.0591609,0.6095649841876917,AVGO,1593549000,8.62,45.85257644439269,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Duan Yongping,17488572000,7.14,14,1249183714.2857144,2372545059.1963778,1.8992763290650196,AAPL,8796984000,50.3,15.857409696430912,2023.0,3.0,33.1,11.03,manager_performance,2026-05-01,Q1 2026,1
Terry Smith,17116089000,2.7,37,462597000.0,469190946.0937342,1.0142541912155378,WAT,1351427000,7.9,42.32385010632445,2019.0,7.0,94.87,13.55,manager_performance,2026-05-01,Q1 2026,1
Bill Ackman,15526738000,9.09,11,1411521636.3636365,969715007.358685,0.6869997472067563,BN,2817788000,18.15,31.738049493440883,2008.0,18.0,455.99,25.33,manager_performance,2026-05-01,Q1 2026,1
Stephen Mandel,13611137000,3.12,32,425348031.25,264325545.125762,0.6214335689975337,TSM,927594000,6.81,44.25914561583783,2019.0,7.0,94.87,13.55,manager_performance,2026-05-01,Q1 2026,1
Thomas Gayner,12544361000,0.78,128,98002820.3125,152715738.4458007,1.5582790164491032,GOOG,862906000,6.88,75.86263333714086,2021.0,5.0,61.05,12.21,manager_performance,2026-05-01,Q1 2026,1
Henry Ellenbogen,10568040000,2.5,40,264201000.0,227343486.40136623,0.8604944205410511,RBC,1051528000,9.95,44.139746018467335,2024.0,2.0,21.0,10.5,manager_performance,2026-05-01,Q1 2026,1
Mairs & Power Funds,10377167000,0.5,200,51885835.0,126671760.1160665,2.441355335537464,MSFT,925115000,8.9,100.0,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Lee Ainslie,9309559000,0.56,178,52300893.25842696,108706385.18263048,2.078480469645042,NVDA,556955000,5.98,94.1510675084059,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Thomas Russo,9263414000,1.15,87,106476022.98850577,258644327.1636804,2.429132117299323,GOOG,1233610000,13.32,54.552569309609176,2022.0,4.0,46.41,11.6,manager_performance,2026-05-01,Q1 2026,1
Ariel Investments,9258591000,0.93,108,85727694.44444445,97732223.9156764,1.1400309380653113,MSGE,370834000,4.01,71.01548892293184,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
John Armitage,9200431000,4.35,23,400018739.1304348,322863451.7647891,0.8071208175562806,AMZN,1360106000,14.78,36.36699297653389,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Chuck Akre,9120743000,5.56,18,506707944.4444444,496431190.8989501,0.9797185861043448,MA,1715654000,18.81,31.71066891565809,2013.0,13.0,245.23,18.86,manager_performance,2026-05-01,Q1 2026,1
Carl Icahn,8445168000,7.69,13,649628307.6923077,1145858040.9230735,1.7638671642766557,IEP,4147974000,49.12,16.318356673777206,2014.0,12.0,213.84,17.82,manager_performance,2026-05-01,Q1 2026,1
First Pacific Advisors,7454849000,1.64,61,122210639.3442623,148259737.64096496,1.2131491859994563,GOOGL,598277000,8.03,50.54634465990011,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Daniel Loeb,7258600000,2.38,42,172823809.52380952,156635487.59526604,0.9063304878352816,PCG,551201000,7.59,45.26004045097986,2021.0,5.0,61.05,12.21,manager_performance,2026-05-01,Q1 2026,1
Sarah Ketterer,7241381000,0.93,107,67676457.94392523,157793182.6623172,2.331581578827014,CCL,1036674000,14.32,62.50873222407552,2024.0,2.0,21.0,10.5,manager_performance,2026-05-01,Q1 2026,1
Yacktman Asset Management,7143810000,1.39,72,99219583.33333331,126116967.01589644,1.271089464185714,CNQ,635548000,8.9,54.3395192519227,2022.0,4.0,46.41,11.6,manager_performance,2026-05-01,Q1 2026,1
ValueAct Capital,7025027000,6.25,16,439064187.5,272581277.106901,0.6208232984315101,CRM,793275000,11.29,36.52211202290302,2012.0,14.0,279.75,19.98,manager_performance,2026-05-01,Q1 2026,1
David Tepper,6853672000,2.63,38,180359789.47368425,166180852.59287548,0.921385265960972,BABA,753118000,10.99,42.51673480450607,2019.0,7.0,94.87,13.55,manager_performance,2026-05-01,Q1 2026,1
AKO Capital,6568399000,4.55,22,298563590.90909094,168760880.9181004,0.565242668753559,FLUT,669888000,10.2,39.90635713993776,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Ruane Cunniff LP,6402460000,2.08,48,133384583.33333331,190540092.2363577,1.4285016114657758,GOOGL,680719000,10.63,43.36429631175037,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Jensen Investment Management,6354875000,1.14,88,72214488.63636364,129588619.86398631,1.7944961227452616,MSFT,641686000,10.1,57.90538794912643,2023.0,3.0,33.1,11.03,manager_performance,2026-05-01,Q1 2026,1
Greenhaven Associates,6071581000,3.7,27,224873370.3703704,286502396.0097352,1.274061021711289,GM,933197000,15.37,34.381258129214245,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
David Abrams,5673787000,8.33,12,472815583.3333333,592589529.4123701,1.2533206398034402,LOAR,2179416000,38.41,21.590684466413503,2013.0,13.0,245.23,18.86,manager_performance,2026-05-01,Q1 2026,1
Vulcan Value Partners,5543238000,2.44,41,135200926.8292683,152390374.9982902,1.1271400172480233,MSFT,551996000,9.96,42.51544394668121,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Seth Klarman,5278590000,4.55,22,239935909.0909091,157211186.52912745,0.6552215844838876,QSR,551325000,10.44,38.79246157132144,2017.0,9.0,135.79,15.09,manager_performance,2026-05-01,Q1 2026,1
AltaRock Partners,5100068000,12.5,8,637508500.0,609920751.444223,0.956725677295633,AMZN,1688341000,33.1,23.60173522895792,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Howard Marks,4538129000,1.89,53,85625075.47169812,117117870.70820986,1.3677987442699673,EXE,558682000,12.31,45.17699573870013,2023.0,3.0,33.1,11.03,manager_performance,2026-05-01,Q1 2026,1
Valley Forge Capital Management,4411309000,11.11,9,490145444.4444444,460057493.8203678,0.9386142399871128,FICO,1300804000,29.49,25.227971441558907,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Glenn Greenberg,4268782000,3.03,33,129357030.3030303,161256676.5950105,1.246601566356714,OMF,522789000,12.25,37.87850266342538,2012.0,14.0,279.75,19.98,manager_performance,2026-05-01,Q1 2026,1
Nelson Peltz,3984031000,14.28,7,569147285.7142857,595405155.7764999,1.0461354568866303,JHG,1515951000,38.05,21.04678590426636,2016.0,10.0,159.37,15.94,manager_performance,2026-05-01,Q1 2026,1
Li Lu,3568876000,11.11,9,396541777.7777778,300162193.3641784,0.7569497343918942,GOOGL,796053000,22.31,28.982047403324515,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Harry Burn,3142599000,2.7,37,84935108.1081081,23880785.103397563,0.2811650639568427,REGN,135762000,4.32,51.92018644153927,2020.0,6.0,77.16,12.86,manager_performance,2026-05-01,Q1 2026,1
Lindsell Train,3136815000,3.7,27,116178333.33333331,156437171.15654305,1.346526212488356,TKO,493935000,15.75,33.85985611638948,2019.0,7.0,94.87,13.55,manager_performance,2026-05-01,Q1 2026,1
Leon Cooperman,3014011000,2.5,40,75350275.0,91135232.18483604,1.2094877183240011,RKT,406881000,13.5,40.52780799196131,2019.0,7.0,94.87,13.55,manager_performance,2026-05-01,Q1 2026,1
Francois Rochon,2997771000,2.0,50,59955420.0,70060037.77609138,1.1685355181581811,BRK.B,254333000,8.48,46.29022118235819,2021.0,5.0,61.05,12.21,manager_performance,2026-05-01,Q1 2026,1
David Einhorn,2849314000,2.44,41,69495463.41463415,100236995.3934418,1.442353075558227,GRBK,593226000,20.82,37.4372363183784,2018.0,8.0,114.36,14.29,manager_performance,2026-05-01,Q1 2026,1
Samantha McLemore,2590708000,2.5,40,64767700.0,45854776.95619688,0.7079883484545056,GOOGL,182052000,7.03,46.455522631050655,2022.0,4.0,46.41,11.6,manager_performance,2026-05-01,Q1 2026,1
Clifford Sosin,2337081000,20.0,5,467416200.0,832119751.4490927,1.7802544102003584,CVNA,1945597000,83.25,2.8153794307219737,2018.0,8.0,114.36,14.29,manager_performance,2026-05-01,Q1 2026,1
Mason Hawkins,2245170000,1.89,53,42361698.11320755,47152254.4385513,1.1130869757048325,CNX,174136000,7.76,48.0692386110578,2025.0,1.0,10.0,10.0,manager_performance,2026-05-01,Q1 2026,1
Prem Watsa,2083409000,3.45,29,71841689.65517241,101179823.12380534,1.4083719858128458,ORLA,423611000,20.33,32.95754748382848,2013.0,13.0,245.23,18.86,manager_performance,2026-05-01,Q1 2026,1
Wallace Weitz,1686582000,2.27,44,38331409.09090909,35050973.77894098,0.9144191306876291,BRK.B,144185000,8.55,45.70554962996765,2024.0,2.0,21.0,10.5,manager_performance,2026-05-01,Q1 2026,1
