ticker,company_name,action_date,managers,total_value,avg_portfolio_pct,manager_count,total_shares,max_portfolio_pct,consensus_score,earliest_date,recent_buyers
MSFT,Microsoft Corp.,Q4 2024,"Thomas Gayner
Wallace Weitz
William Von Mueffling
Torray Funds
Robert Vinall
Robert Olstein
Dodge & Cox
Mairs & Power Growth Fund
David Katz
Hillman Value Fund
David Tepper
Lee Ainslie
David Rolfe
Daniel Loeb
Bill & Melinda Gates Foundation Trust
Glenn Greenberg
Stephen Mandel
Kahn Brothers Group
Chase Coleman
Duan Yongping
AltaRock Partners
Chris Hohn
Terry Smith
Sarah Ketterer
Triple Frond Partners
Polen Capital Management
AKO Capital
Thomas Russo
Francois Rochon
John Armitage
Jensen Investment Management
Christopher Davis
First Eagle Investment Management
Yacktman Asset Management",41053753000,6.5,34,82348877,27.27,221.13,Q1 2009,19.0
AMZN,Amazon.com Inc.,Q4 2024,"Thomas Gayner
Wallace Weitz
Samantha McLemore
Torray Funds
Robert Olstein
Dodge & Cox
Mairs & Power Growth Fund
David Katz
Steven Romick
David Tepper
Lee Ainslie
Viking Global Investors
ValueAct Capital
Daniel Loeb
Bill Ackman
Glenn Greenberg
Stephen Mandel
Warren Buffett
Chase Coleman
AltaRock Partners
Josh Tarasoff
Triple Frond Partners
Polen Capital Management
AKO Capital
Francois Rochon
John Armitage
Christopher Davis",20158065000,6.56,27,92074872,25.14,177.23,Q1 2015,14.0
META,Meta Platforms Inc.,Q4 2024,"Thomas Gayner
Wallace Weitz
Samantha McLemore
Robert Vinall
Robert Olstein
Dodge & Cox
Mairs & Power Growth Fund
David Katz
Steven Romick
Ruane Cunniff
David Tepper
Viking Global Investors
ValueAct Capital
David Rolfe
Daniel Loeb
Glenn Greenberg
Stephen Mandel
Chase Coleman
Pat Dorsey
Terry Smith
Sarah Ketterer
Triple Frond Partners
Francois Rochon
John Armitage
Jensen Investment Management
David Abrams
Christopher Davis
First Eagle Investment Management",19066487000,6.04,28,25866133,18.78,169.02,Q1 2017,17.0
GOOG,Alphabet Inc. CL C,Q4 2024,"Thomas Gayner
Wallace Weitz
Torray Funds
Robert Olstein
Dodge & Cox
Mairs & Power Growth Fund
David Katz
Steven Romick
David Tepper
Li Lu
Bill Ackman
Glenn Greenberg
Kahn Brothers Group
Bryan Lawrence
Duan Yongping
Pat Dorsey
Chris Hohn
Seth Klarman
Sarah Ketterer
Francis Chou
Triple Frond Partners
Polen Capital Management
Thomas Russo
Francois Rochon
John Armitage
Christopher Davis
First Eagle Investment Management
Yacktman Asset Management",12138990000,4.94,28,64455337,16.17,138.34,Q1 2015,12.0
BRK.B,Berkshire Hathaway CL B,Q4 2024,"Thomas Gayner
Wallace Weitz
Torray Funds
Robert Olstein
Guy Spier - Aquamarine Capital
Tweedy Browne Co.
David Katz
Ruane Cunniff
Christopher Bloomstran
Bruce Berkowitz
Chuck Akre
Li Lu
Bill & Melinda Gates Foundation Trust
Duan Yongping
Thomas Russo
Francois Rochon
Christopher Davis
First Eagle Investment Management
Yacktman Asset Management
Harry Burn",16197558000,6.65,20,33280955,24.53,132.96,Q1 2007,7.0
BRK.A,Berkshire Hathaway CL A,Q4 2024,"Thomas Gayner
Guy Spier - Aquamarine Capital
Tweedy Browne Co.
Christopher Bloomstran
Bruce Berkowitz
Norbert Lou
Josh Tarasoff
Prem Watsa
Francis Chou
Thomas Russo
Francois Rochon
Christopher Davis
First Eagle Investment Management
Yacktman Asset Management",3626770000,9.19,14,4936,34.28,128.65,Q1 2007,1.0
GOOGL,Alphabet Inc.,Q4 2024,"Thomas Gayner
William Von Mueffling
Samantha McLemore
Torray Funds
Robert Vinall
Guy Spier - Aquamarine Capital
Tweedy Browne Co.
Dodge & Cox
David Katz
Steven Romick
Bill Nygren
Ruane Cunniff
Lee Ainslie
Li Lu
David Rolfe
Bill Ackman
Glenn Greenberg
Chase Coleman
Leon Cooperman
AltaRock Partners
Chris Hohn
Josh Tarasoff
Terry Smith
Polen Capital Management
Thomas Russo
Francois Rochon
Jensen Investment Management
David Abrams
Lindsell Train
Christopher Davis
First Eagle Investment Management
Harry Burn",12259576000,3.72,32,63405708,16.67,119.0,Q1 2010,15.0
CVNA,Carvana Co.,Q4 2024,"Robert Vinall
Viking Global Investors
Stephen Mandel
Clifford Sosin
Polen Capital Management",2788583000,23.39,5,8222485,80.82,116.94,Q1 2018,4.0
AAPL,Apple Inc.,Q4 2024,"Thomas Gayner
Torray Funds
Robert Olstein
Mairs & Power Growth Fund
David Katz
Christopher Bloomstran
Lee Ainslie
Bruce Berkowitz
Li Lu
David Rolfe
Warren Buffett
Kahn Brothers Group
Duan Yongping
Sarah Ketterer
Francis Chou
Polen Capital Management
Thomas Russo
Francois Rochon
Jensen Investment Management
Christopher Davis",65766458000,5.76,20,320015063,62.47,115.14,Q1 2011,9.0
V,Visa Inc.,Q4 2024,"Thomas Gayner
Wallace Weitz
William Von Mueffling
Torray Funds
Robert Olstein
Mairs & Power Growth Fund
David Katz
Viking Global Investors
ValueAct Capital
Chuck Akre
David Rolfe
Glenn Greenberg
Warren Buffett
Valley Forge Capital Management
AltaRock Partners
Chris Hohn
Terry Smith
Polen Capital Management
AKO Capital
Thomas Russo
Francois Rochon
John Armitage
Lindsell Train
Yacktman Asset Management",18419690000,4.1,24,52017795,13.35,98.51,Q1 2009,7.0
