ticker,company_name,manager,total_value,flip_quarter,flip_action,shares_at_flip,action_sequence,quarters_before_flip,quarters_after_flip,traceability_status,current_shares,still_held,_analysis_type,_generated,_periods,_window_quarters
BAP,Credicorp Ltd.,Richard Pzena,309353000.0,Q1 2026,Reduce 14.68%,156882,Add -> Add -> Reduce,5,0,matched,912060.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
BAX,Baxter International Inc.,Richard Pzena,1084067000.0,Q1 2026,Reduce 7.88%,5518428,Add -> Add -> Reduce,5,0,matched,64527823.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
BMY,Bristol-Myers Squibb,Richard Pzena,1036856000.0,Q1 2026,Reduce 4.72%,847772,Add -> Add -> Reduce,5,0,matched,17095731.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
DOW,Dow Inc.,Richard Pzena,789168000.0,Q1 2026,Reduce 31.42%,8679285,Add -> Add -> Reduce,5,0,matched,18947602.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
EL,Estee Lauder Cos.,Lindsell Train,1077000.0,Q1 2026,Reduce 3.23%,500,Add -> Add -> Reduce,5,0,matched,15000.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
FMC,FMC Corp.,Richard Pzena,0.0,Q1 2026,Sell 100.00%,572048,Add -> Add -> Sell,5,0,matched,0.0,False,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
GD,General Dynamics,Richard Pzena,36885000.0,Q1 2026,Reduce 63.38%,185976,Add -> Add -> Reduce,4,0,matched,107467.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
GLD,SPDR Gold Trust,David Katz,423000.0,Q1 2026,Reduce 8.47%,91,Add -> Add -> Reduce,5,0,matched,984.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
GNRC,Generac Holdings Inc.,David Katz,22047000.0,Q1 2026,Reduce 0.11%,123,Add -> Add -> Reduce,3,0,matched,112868.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
GPC,Genuine Parts,Richard Pzena,60710000.0,Q1 2026,Reduce 5.40%,32792,Add -> Add -> Reduce,3,0,matched,574088.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
IFF,International Flavors & Fragrances Inc.,Robert Olstein,8633000.0,Q1 2026,Reduce 6.30%,8000,Add -> Add -> Reduce,9,0,matched,119000.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
KSPI,Jsc Kaspi.kz ADR,Richard Pzena,197944000.0,Q1 2026,Reduce 1.23%,33347,Add -> Add -> Reduce,5,0,matched,2672387.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ABBV,AbbVie Inc.,Mairs & Power Funds,10615000.0,Q4 2025,Reduce 2.03%,965,Add -> Add -> Reduce,3,1,matched,46456.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ABBV,AbbVie Inc.,Torray Funds,21178000.0,Q4 2025,Reduce 8.80%,8945,Add -> Add -> Reduce,10,1,matched,92687.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ABM,ABM Industries,Bill Nygren,114712000.0,Q4 2025,Reduce 2.07%,57232,Add -> Add -> Reduce,5,1,matched,2711878.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ABT,Abbott Labs,Jensen Investment Management,234676000.0,Q4 2025,Reduce 22.26%,536366,Add -> Add -> Reduce,6,1,matched,1873063.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ACHC,Acadia Healthcare Co.,Lee Ainslie,12848000.0,Q4 2025,Reduce 69.88%,2101086,Add -> Add -> Reduce,2,1,matched,905419.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ACMR,ACM Research Inc.,Dodge & Cox Funds,4434000.0,Q4 2025,Reduce 8.54%,10500,Add -> Add -> Reduce,4,1,matched,112392.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ACVA,ACV Auctions Inc.,Bill Nygren,0.0,Q4 2025,Sell 100.00%,3804814,Add -> Add -> Sell,4,1,matched,0.0,False,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ADI,Analog Devices,Thomas Gayner,277504000.0,Q4 2025,Reduce 12.37%,144426,Add -> Add -> Reduce,12,1,matched,1023245.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
ALC,Alcon Inc.,AKO Capital,609351000.0,Q4 2025,Reduce 3.61%,287664,Add -> Add -> Reduce,25,1,matched,7686700.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
AMAT,Applied Materials,David Katz,20006000.0,Q4 2025,Reduce 0.99%,715,Buy -> Add -> Reduce,1,1,matched,58533.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
AMAT,Applied Materials,Harry Burn,72109000.0,Q4 2025,Reduce 29.72%,118650,Buy -> Add -> Reduce,16,1,matched,280589.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
AMD,Advanced Micro Devices,Viking Global Investors,801428000.0,Q4 2025,Reduce 10.50%,439078,Buy -> Add -> Reduce,4,1,matched,3742191.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
AAP,Advance Auto Parts,Richard Pzena,226882000.0,Q3 2025,Reduce 9.10%,399912,Add -> Add -> Reduce,3,2,matched,4301089.0,True,position_flip_points,2026-05-01,"Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024, Q2 2024",8
