manager,manager,sectors_traded,rotation_success_score,sectors_list
oaklx,Bill Nygren,6,139,"Energy, Finance, Healthcare, Industrial, Other, Technology"
CCM,Glenn Greenberg,4,124,"Finance, Healthcare, Other, Technology"
ARFFX,Charles Bobrinskoy,5,116,"Energy, Finance, Healthcare, Other, Technology"
SEQUX,Ruane Cunniff,4,112,"Finance, Healthcare, Other, Technology"
hcmax,Hillman Value Fund,6,108,"Finance, Healthcare, Industrial, Other, Real Estate, Technology"
pzfvx,Richard Pzena,7,107,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
BRK,Warren Buffett,7,107,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
AM,David Tepper,5,85,"Energy, Finance, Healthcare, Other, Technology"
AC,Chuck Akre,3,84,"Finance, Other, Technology"
WVALX,Wallace Weitz,3,83,"Healthcare, Other, Technology"
TWEBX,Tweedy Browne Co.,6,78,"Energy, Finance, Healthcare, Industrial, Other, Technology"
SSHFX,Harry Burn,5,78,"Energy, Finance, Healthcare, Other, Technology"
MPGFX,Mairs & Power Growth Fund,6,76,"Consumer, Energy, Healthcare, Industrial, Other, Technology"
YAM,Yacktman Asset Management,7,75,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
LPC,Stephen Mandel,6,71,"Energy, Finance, Healthcare, Industrial, Other, Technology"
DODGX,Dodge & Cox,6,71,"Energy, Finance, Healthcare, Industrial, Other, Technology"
FPPTX,FPA Queens Road Small Cap Value Fund,6,70,"Consumer, Energy, Finance, Industrial, Other, Technology"
fairx,Bruce Berkowitz,7,68,"Energy, Finance, Healthcare, Industrial, Other, Real Estate, Technology"
AIM,Alex Roepers,4,68,"Energy, Industrial, Other, Technology"
LMM,Bill Miller,8,66,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Real Estate, Technology"
KB,Kahn Brothers Group,5,66,"Consumer, Energy, Finance, Other, Technology"
LLPFX,Mason Hawkins,5,65,"Energy, Finance, Healthcare, Industrial, Other"
EC,John Armitage,6,63,"Energy, Finance, Healthcare, Industrial, Other, Technology"
GC,Francois Rochon,4,62,"Finance, Healthcare, Other, Technology"
oa,Leon Cooperman,5,61,"Energy, Finance, Healthcare, Other, Technology"
cc,William Von Mueffling,3,60,"Finance, Other, Technology"
VA,ValueAct Capital,6,60,"Energy, Finance, Healthcare, Industrial, Other, Technology"
FPACX,Steven Romick,6,60,"Energy, Finance, Healthcare, Industrial, Other, Technology"
CAAPX,John Rogers,4,59,"Finance, Healthcare, Other, Technology"
PI,Mohnish Pabrai,4,57,"Energy, Finance, Other, Technology"
