period,sector,net_flow,buy_actions,sell_actions
Q2 2025,Energy,10,2,0
Q2 2025,Financials,-41,2,0
Q2 2025,Healthcare,6,10,0
Q2 2025,Other,190,447,0
Q2 2025,Technology,-15,17,0
Q1 2025,Energy,12,3,0
Q1 2025,Financials,-48,3,0
Q1 2025,Healthcare,-3,4,0
Q1 2025,Other,151,294,0
Q1 2025,Technology,-27,9,0
Q4 2024,Energy,12,4,0
Q4 2024,Financials,-45,3,0
Q4 2024,Healthcare,-1,7,0
Q4 2024,Other,143,281,0
Q4 2024,Technology,-60,4,0
Q3 2024,Energy,7,1,0
Q3 2024,Financials,-18,5,0
Q3 2024,Healthcare,-5,5,0
Q3 2024,Other,142,273,0
Q3 2024,Technology,-27,10,0
Q2 2024,Energy,5,2,0
Q2 2024,Financials,-46,2,0
Q2 2024,Healthcare,3,4,0
Q2 2024,Other,11,197,0
Q2 2024,Technology,-65,11,0
Q1 2024,Energy,4,2,0
Q1 2024,Financials,-43,4,0
Q1 2024,Healthcare,-5,2,0
Q1 2024,Other,-119,189,0
Q1 2024,Technology,-49,10,0
Q4 2023,Energy,0,2,0
Q4 2023,Financials,-22,2,0
Q4 2023,Healthcare,-14,4,0
Q4 2023,Other,-40,167,0
Q4 2023,Technology,-60,10,0
Q3 2023,Energy,2,4,0
Q3 2023,Financials,-10,5,0
Q3 2023,Healthcare,6,8,0
Q3 2023,Other,120,209,0
Q3 2023,Technology,-17,11,0
Q2 2023,Energy,2,1,0
Q2 2023,Financials,17,2,0
Q2 2023,Healthcare,13,6,0
Q2 2023,Other,285,194,0
Q2 2023,Technology,-53,8,0
Q1 2023,Energy,3,1,0
Q1 2023,Financials,-14,4,0
Q1 2023,Healthcare,-2,1,0
Q1 2023,Other,111,230,0
Q1 2023,Technology,16,10,0
Q4 2022,Energy,-12,1,0
Q4 2022,Financials,-22,1,0
Q4 2022,Healthcare,-11,5,0
Q4 2022,Other,-57,185,0
Q4 2022,Technology,30,6,0
Q3 2022,Energy,11,2,0
Q3 2022,Financials,-2,3,0
Q3 2022,Healthcare,-8,0,0
Q3 2022,Other,139,139,0
Q3 2022,Technology,15,7,0
Q2 2022,Energy,3,1,0
Q2 2022,Financials,10,1,0
Q2 2022,Healthcare,-15,0,0
Q2 2022,Other,224,207,0
Q2 2022,Technology,34,7,0
Q1 2022,Energy,-4,2,0
Q1 2022,Financials,0,4,0
Q1 2022,Healthcare,-10,1,0
Q1 2022,Other,189,219,0
Q1 2022,Technology,14,5,0
Q4 2021,Energy,-2,1,0
Q4 2021,Financials,-2,5,0
Q4 2021,Healthcare,-4,1,0
Q4 2021,Other,147,174,0
Q4 2021,Technology,-13,4,0
Q3 2021,Energy,6,0,0
Q3 2021,Financials,-15,0,0
Q3 2021,Healthcare,-3,3,0
Q3 2021,Other,149,172,0
Q3 2021,Technology,-18,3,0
Q2 2021,Energy,0,1,0
Q2 2021,Financials,-15,2,0
Q2 2021,Healthcare,-1,0,0
Q2 2021,Other,159,223,0
Q2 2021,Technology,-3,5,0
Q1 2021,Energy,-1,3,0
Q1 2021,Financials,-11,1,0
Q1 2021,Healthcare,7,1,0
Q1 2021,Other,258,334,0
Q1 2021,Technology,0,4,0
Q4 2020,Energy,1,2,0
Q4 2020,Financials,-6,1,0
Q4 2020,Healthcare,0,3,0
Q4 2020,Other,52,236,0
Q4 2020,Technology,-24,4,0
Q3 2020,Energy,0,2,0
Q3 2020,Financials,-13,3,0
Q3 2020,Healthcare,-4,5,0
Q3 2020,Other,0,167,0
Q3 2020,Technology,-30,5,0
Q2 2020,Energy,-4,1,0
Q2 2020,Financials,2,5,0
Q2 2020,Healthcare,-9,2,0
Q2 2020,Other,71,147,0
Q2 2020,Technology,-4,8,0
Q1 2020,Energy,5,3,0
Q1 2020,Financials,8,13,0
Q1 2020,Healthcare,-6,2,0
Q1 2020,Other,244,200,0
Q1 2020,Technology,4,18,0
Q4 2019,Energy,2,1,0
Q4 2019,Financials,-31,0,0
