ticker,company_name,total_recent_managers,new_managers_count,recent_buy_activities,emergence_score,new_managers,total_managers,new_manager_names,_analysis_type,_generated,_periods,_window_quarters
AMZN,Amazon.com Inc.,35,9,61,549,"mc, pcm, GR, JIM, psc, SP, SSHFX, VAN, OFALX",46,"Lee Ainslie, Polen Capital Management, Thomas Russo, Jensen Investment Management, Bill Ackman, D...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
UNH,United Health Group Inc.,31,10,46,460,"mc, FE, pcm, SAM, YAM, HH, CAU, PTNT, TB, CHE",39,"Lee Ainslie, First Eagle Investment Management, Polen Capital Management, Michael Burry, Yacktman...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
MSFT,Microsoft Corp.,45,6,63,378,"mc, FE, PIM, pcm, psc, RC",49,"Lee Ainslie, First Eagle Investment Management, Richard Pzena, Polen Capital Management, Bill Ack...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
NVDA,NVIDIA Corp.,21,9,36,324,"WIM, mc, pcm, KB, DAC, JIM, DAV, EC, VAN",24,"Wallace Weitz, Lee Ainslie, Polen Capital Management, Kahn Brothers Group, Dodge & Cox Funds, Jen...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
META,Meta Platforms Inc.,33,5,48,240,"FE, pcm, JIM, psc, CHE",44,"First Eagle Investment Management, Polen Capital Management, Jensen Investment Management, Bill A...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
TSM,Taiwan Semiconductor S.A.,25,8,28,224,"T, WIM, mc, FE, pcm, HA, DAC, DAV",28,"Torray Funds, Wallace Weitz, Lee Ainslie, First Eagle Investment Management, Polen Capital Manage...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
DIS,Walt Disney Co.,24,6,37,222,"mc, FPA, FE, vg, AI, SE",35,"Lee Ainslie, First Pacific Advisors, First Eagle Investment Management, Viking Global Investors, ...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
ADBE,Adobe Inc.,16,8,26,208,"mc, PIM, MKL, pcm, HA, PTNT, DAV, OFALX",30,"Lee Ainslie, Richard Pzena, Thomas Gayner, Polen Capital Management, Bill Nygren, Samantha McLemo...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
GOOGL,Alphabet Inc.,41,5,39,195,"BRK, mc, FE, PIM, pcm",47,"Warren Buffett, Lee Ainslie, First Eagle Investment Management, Richard Pzena, Polen Capital Mana...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
FISV,Fiserv Inc.,19,5,35,175,"FE, HCM, PC, AM, DAV",25,"First Eagle Investment Management, Hillman Capital Management, Norbert Lou, David Tepper, Christo...",theme_emergence_detection,2026-07-20,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
