ticker,current_price,managers_shown,total_value,portfolio_pct,sell_count,selling_managers,shares_sold,periods,activities,52_week_low,52_week_high,52_week_position_pct,near_52w_high,profit_taking_score,selling_type,_analysis_type,_generated,_periods,_window_quarters
AAPL,289.36,5,67319229000,4.14,34,"Duan Yongping, Lee Ainslie, Bill Nygren, Warren Buffett, David Rolfe, +5 more",59068599,"Q1 2026, Q4 2025, Q3 2025",Reduce 10.55%; Reduce 7.09%; Reduce 0.82%; Sell 100.00%; Reduce 1.59%,200.7,317.4,75.97257926306771,True,67394.82625792631,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOGL,357.37,5,32818850000,4.25,65,"Lee Ainslie, Viking Global Investors, Bill Nygren, Bill Ackman, Glenn Greenberg, +5 more",28318275,"Q4 2025, Q3 2025, Q1 2026",Sell 100.00%; Reduce 46.29%; Reduce 10.14%; Reduce 5.88%; Reduce 21.82%,172.28,408.37,78.39806853318649,True,32956.68980685332,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KO,81.27,5,30692464000,1.69,16,"Lee Ainslie, Bill Nygren, Christopher Bloomstran, Dodge & Cox Funds, Polen Capital Management, +5 more",430828,"Q1 2026, Q4 2025, Q3 2025",Reduce 17.77%; Sell 100.00%; Reduce 1.88%; Reduce 2.58%; Reduce 0.41%,64.04,83.62,87.99795709908065,True,30733.263795709907,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BAC,56.98,5,26718753000,1.59,40,"Lee Ainslie, Viking Global Investors, Li Lu, Bill Nygren, Glenn Greenberg, +5 more",162725197,"Q4 2025, Q1 2026, Q3 2025",Sell 100.00%; Reduce 60.92%; Reduce 63.20%; Reduce 71.26%; Reduce 4.76%,43.8,59.2,85.58441558441555,True,26807.31144155844,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOG,353.33,5,18433514000,5.18,71,"Duan Yongping, Lee Ainslie, Bill Nygren, Bill Ackman, David Tepper, +5 more",26036199,"Q3 2025, Q1 2026, Q4 2025",Reduce 6.93%; Reduce 23.55%; Reduce 7.74%; Reduce 18.94%; Reduce 13.10%,173.38,404.23,77.95105046567033,True,18583.309105046566,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
V,343.09,5,18164620000,4.7,36,"Bill Nygren, Glenn Greenberg, Warren Buffett, Valley Forge Capital Management, David Rolfe, +5 more",15403328,"Q1 2026, Q4 2025, Q3 2025",Reduce 2.46%; Reduce 2.92%; Reduce 2.12%; Sell 100.00%; Reduce 34.66%,293.28,357.14,77.99874725963043,True,18244.41987472596,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GE,373.73,5,15126715000,6.62,12,"AKO Capital, Hillman Capital Management, Dodge & Cox Funds, Mairs & Power Funds, John Armitage",10656332,"Q1 2026, Q4 2025, Q3 2025",Reduce 10.14%; Reduce 16.01%; Reduce 35.97%; Reduce 2.14%; Reduce 0.53%,242.38,379.67,95.67339208973704,True,15160.282339208974,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CB,340.74,5,11999323000,1.74,4,"David Rolfe, Mairs & Power Funds, Christopher Davis",4150,"Q1 2026, Q4 2025, Q3 2025",Reduce 4.67%; Reduce 2.42%; Reduce 3.00%; Reduce 0.13%,260.77,344.85,95.11179828734538,True,12016.834179828737,Peak Selling,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
JCI,146.11,5,8135579000,1.47,10,"Viking Global Investors, Bill Nygren, Dodge & Cox Funds, Christopher Davis",11871071,"Q1 2026, Q4 2025, Q3 2025",Reduce 25.32%; Reduce 12.92%; Reduce 9.98%; Reduce 5.40%; Reduce 8.67%,100.78,149.38,93.27160493827164,True,8164.906160493827,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
TSM,477.57,5,7988160000,2.79,41,"Duan Yongping, Lee Ainslie, Viking Global Investors, Bill Nygren, Daniel Loeb, +5 more",11182818,"Q1 2026, Q3 2025, Q4 2025",Reduce 87.65%; Reduce 25.40%; Reduce 42.08%; Reduce 9.15%; Reduce 8.89%,218.8,479.0,99.45042275172943,True,8080.105042275173,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
