ticker,current_price,managers_shown,total_value,portfolio_pct,buy_count,buying_managers,shares_bought,periods,activities,52_week_low,52_week_high,52_week_position_pct,near_52w_low,value_opportunity_score,opportunity_type,_analysis_type,_generated,_periods,_window_quarters
MSFT,373.02,5,16220780000,3.87,46,"Duan Yongping, Lee Ainslie, Viking Global Investors, Bill Nygren, Bill Ackman, +5 more",16528304,"Q1 2026, Q4 2025, Q3 2025",Add 18.28%; Add 207.66%; Add 23.46%; Add 23.69%; Add 32.45%,349.2,551.05,11.800842209561557,True,16321.599915779045,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
META,563.29,5,13370664000,4.48,35,"Viking Global Investors, ValueAct Capital, Bill Nygren, Bill Ackman, Glenn Greenberg, +5 more",7596965,"Q1 2026, Q3 2025, Q4 2025",Buy; Add 249.91%; Add 36.34%; Add 23.31%; Add 4.11%,519.78,793.65,15.887099718844706,True,13449.075290028117,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SPGI,407.26,5,7597966000,4.88,14,"Li Lu, Glenn Greenberg, Valley Forge Capital Management, David Rolfe, Pat Dorsey, +4 more",3315266,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 0.18%; Add 3.71%; Add 19.04%; Add 5.37%,379.84,574.23,14.10566387159834,True,7634.555433612841,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
WTW,261.37,5,5623922000,2.4,9,"Bill Nygren, First Eagle Investment Management, Seth Klarman, Dodge & Cox Funds, Robert Olstein",8650711,"Q1 2026, Q4 2025, Q3 2025",Add 7.21%; Add 30.70%; Add 13.43%; Add 2.08%; Add 24.66%,239.74,349.37,19.73000091215908,True,5649.948999908784,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,24.55,5,5511832000,1.19,17,"Bill Nygren, Hillman Capital Management, First Eagle Investment Management, Dodge & Cox Funds, First Pacific Advisors, +5 more",10987373,"Q4 2025, Q3 2025, Q1 2026",Add 24.48%; Add 3.07%; Add 4.81%; Add 4.45%; Add 0.68%,22.13,33.03,22.201834862385333,True,5553.611816513761,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CHTR,142.21,5,4858647000,1.17,10,"Lee Ainslie, Bill Nygren, First Eagle Investment Management, Wallace Weitz, Dodge & Cox Funds, +1 more",7228207,"Q4 2025, Q1 2026, Q3 2025",Buy; Add 24.33%; Add 20.56%; Add 119.58%; Add 79.26%,124.05,422.29,6.08905579399142,True,4888.038094420601,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CRM,156.66,5,4755167000,2.11,17,"ValueAct Capital, Bill Nygren, AKO Capital, Hillman Capital Management, Chuck Akre, +5 more",16631675,"Q4 2025, Q1 2026, Q3 2025",Add 3.31%; Add 52.36%; Add 38.95%; Add 135.47%; Add 13.50%,146.32,274.48,8.068039950062424,True,4798.360196004995,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,49.05,5,4621116000,1.21,28,"Bill Nygren, Norbert Lou, Mason Hawkins, David Tepper, Francois Rochon, +5 more",48664450,"Q1 2026, Q4 2025, Q3 2025",Add 26.89%; Add 129.96%; Buy; Add 0.41%; Add 110.36%,47.04,175.92,1.5595903165735554,True,4686.960040968343,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ICE,123.11,5,4507156000,3.55,9,"Viking Global Investors, Bill Nygren, AKO Capital, William Von Mueffling, Thomas Gayner",11032401,"Q1 2026, Q4 2025, Q3 2025",Add 0.70%; Buy; Add 4.86%; Add 52.85%; Add 0.01%,121.79,186.96,2.0254718428724767,True,4534.953452815713,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
UBER,72.16,5,4073814000,3.97,16,"David Tepper, Pat Dorsey, Polen Capital Management, First Pacific Advisors, John Armitage, +4 more",15438714,"Q1 2026, Q3 2025, Q4 2025",Add 242.31%; Buy; Add 24571.56%; Add 1.74%; Add 1.96%,67.19,101.99,14.281609195402298,True,4114.38583908046,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KR,55.53,5,3623255000,0.49,1,Lee Ainslie,6359,Q1 2026,Buy,54.97,76.18,2.64026402640265,True,3634.99097359736,Deep Value,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GEHC,64.01,5,3472048000,1.2,13,"Nelson Peltz, Bill Nygren, Leon Cooperman, First Eagle Investment Management, Dodge & Cox Funds, +1 more",14533444,"Q4 2025, Q3 2025, Q1 2026",Add 0.37%; Add 43.85%; Add 13.95%; Add 11.67%; Add 50.00%,58.75,89.69,17.000646412411136,True,3506.3479353587586,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
PDD,76.28,5,3111456000,6.08,7,"Howard Marks, Duan Yongping, Sarah Ketterer, Dodge & Cox Funds",16087764,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 71.18%; Add 34.55%; Add 19.89%; Add 2.20%,71.94,139.41,6.432488513413374,True,3134.8127511486587,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
DIS,96.25,5,2998620000,1.79,27,"Duan Yongping, Lee Ainslie, Viking Global Investors, Bill Nygren, Christopher Bloomstran, +5 more",11433516,"Q1 2026, Q3 2025, Q4 2025",Add 112.33%; Add 7.42%; Add 18.81%; Add 7.12%; Add 78.69%,91.48,122.83,15.21531100478468,True,3061.0984688995213,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CPNG,17.37,5,2882730000,2.36,10,"Bill Nygren, Henry Ellenbogen, Chase Coleman, Bill Miller, Dennis Hong, +1 more",57443308,"Q1 2026, Q3 2025, Q4 2025",Buy; Add 0.36%; Add 31.71%; Add 65.85%; Add 16.58%,14.92,34.08,12.78705636743216,True,2911.4512943632567,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CTSH,38.73,5,2402103000,1.65,5,"Sarah Ketterer, Yacktman Asset Management, Richard Pzena",3289570,"Q4 2025, Q3 2025, Q1 2026",Add 14.97%; Add 14.29%; Add 0.83%; Add 14.94%; Add 1.49%,37.08,85.98,3.3742331288343523,True,2421.7655766871167,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FIS,38.88,5,2349002000,1.65,8,"Mason Hawkins, Seth Klarman, Dodge & Cox Funds, Harry Burn, Robert Olstein",15146265,"Q1 2026, Q4 2025, Q3 2025",Add 33.01%; Add 18.84%; Add 13.94%; Add 22.20%; Add 27.68%,37.42,80.15,3.416803182775569,True,2374.6603196817223,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ORCL,146.55,5,2326567000,0.95,10,"Hillman Capital Management, First Eagle Investment Management, Mairs & Power Funds, Thomas Russo, William Von Mueffling, +1 more",619872,"Q1 2026, Q4 2025, Q3 2025",Buy; Add 1.75%; Add 7.34%; Add 62.49%; Add 23.38%,134.57,343.01,5.747457301861456,True,2355.9922542698137,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
ROP,338.39,5,2240102000,2.91,4,"Bill Nygren, Chuck Akre, Wallace Weitz, Dodge & Cox Funds",5230444,"Q1 2026, Q4 2025",Buy; Add 13.76%; Add 16.31%,305.96,571.35,12.21975206300162,True,2256.8800247937,Value Buying,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
LPLA,281.68,5,2226749000,1.81,9,"Stephen Mandel, First Eagle Investment Management, Dodge & Cox Funds, John Armitage, William Von Mueffling, +1 more",2467542,"Q3 2025, Q4 2025, Q1 2026",Add 20.48%; Buy; Add 5.00%; Add 18.61%; Add 23.23%,260.15,402.1,15.167312433955637,True,2253.2322687566043,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SBAC,176.46,5,2079138000,1.14,4,"Dodge & Cox Funds, Torray Funds",3472149,"Q1 2026, Q4 2025, Q3 2025",Add 0.70%; Add 24.09%; Add 12.30%; Add 4.96%,161.43,237.56,19.742545645606203,True,2095.1637454354395,Value Buying,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
LEN,90.49,5,2019883000,6.31,6,"Glenn Greenberg, Warren Buffett, Greenhaven Associates",4595103,"Q4 2025, Q1 2026, Q3 2025",Add 20.24%; Add 43.24%; Add 0.03%; Add 5.33%; Add 4.57%,81.18,142.23,15.249795249795234,True,2040.3580204750208,Strong Accumulation,52_week_low_buys,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
