ticker,company_name,managers_shown,total_value,avg_portfolio_pct,active_managers,periods,buy_count,sell_count,current_holders,contrarian_score,contrarian_signal,buying_managers,selling_managers,add_count,reduce_count,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,5,31358204000.0,4.96,37.0,"Q1 2026, Q4 2025, Q3 2025",28.0,43.0,40.0,262.7,Net Selling,"Richard Pzena, David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, +17 more","David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Daniel Loeb, +24 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOGL,Alphabet Inc.,5,24636180000.0,4.78,33.0,"Q1 2026, Q4 2025, Q3 2025",15.0,43.0,34.0,191.4,Net Selling,"Lindsell Train, Richard Pzena, David Katz, Viking Global Investors, Christopher Bloomstran, +9 more","Lindsell Train, David Katz, Guy Spier, Hillman Value Fund, First Pacific Advisors, +23 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
META,Meta Platforms Inc.,5,14346768000.0,5.1,30.0,"Q1 2026, Q4 2025, Q3 2025",22.0,36.0,26.0,174.0,Net Selling,"David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, Daniel Loeb, +11 more","David Katz, First Pacific Advisors, Viking Global Investors, Daniel Loeb, Stephen Mandel, +20 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMZN,Amazon.com Inc.,5,22458421000.0,6.6,31.0,"Q1 2026, Q4 2025, Q3 2025",24.0,31.0,33.0,170.5,Net Selling,"David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, Daniel Loeb, +15 more","David Katz, First Pacific Advisors, Bill Nygren, Viking Global Investors, Daniel Loeb, +16 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOG,Alphabet Inc. CL C,5,20218780000.0,6.1,29.0,"Q1 2026, Q4 2025, Q3 2025",9.0,46.0,32.0,159.5,Net Selling,"David Tepper, Duan Yongping, Lee Ainslie, Francois Rochon, Kahn Brothers Group, +3 more","David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, Bill Ackman, +22 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UNH,United Health Group Inc.,5,6818930000.0,1.69,24.0,"Q1 2026, Q4 2025, Q3 2025",17.0,26.0,19.0,103.2,Net Selling,"David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Viking Global Investors, +9 more","David Katz, Robert Olstein, Hillman Value Fund, Stephen Mandel, Glenn Greenberg, +14 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
V,Visa Inc.,5,22576626000.0,4.31,24.0,"Q1 2026, Q4 2025, Q3 2025",21.0,21.0,28.0,100.8,Mixed Signal,"Lindsell Train, David Katz, Robert Olstein, Viking Global Investors, ValueAct Capital, +11 more","Bill Nygren, David Rolfe, Mairs & Power Funds, AKO Capital, Chris Hohn, +9 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
DIS,Walt Disney Co.,5,3348633000.0,2.18,21.0,"Q1 2026, Q4 2025, Q3 2025",17.0,25.0,22.0,88.2,Net Selling,"Richard Pzena, Bill Nygren, Viking Global Investors, Christopher Bloomstran, Mairs & Power Funds, +7 more","Lindsell Train, Robert Olstein, Hillman Value Fund, Bill Nygren, ValueAct Capital, +10 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TSM,Taiwan Semiconductor S.A.,5,8512313000.0,2.77,21.0,"Q1 2026, Q4 2025, Q3 2025",14.0,27.0,23.0,86.1,Net Selling,"Bill Nygren, Viking Global Investors, David Tepper, Mairs & Power Funds, Duan Yongping, +7 more","Richard Pzena, Hillman Value Fund, Bill Nygren, Viking Global Investors, Daniel Loeb, +13 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BRK.B,Berkshire Hathaway CL B,5,16661841000.0,6.81,20.0,"Q4 2025, Q3 2025",10.0,26.0,23.0,72.0,Net Selling,"David Katz, Robert Olstein, Christopher Bloomstran, Duan Yongping, Thomas Russo, +3 more","David Katz, Guy Spier, Bill Nygren, Bill & Melinda Gates Foundation Trust, Christopher Bloomstran, +12 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AAPL,Apple Inc.,5,72153679000.0,5.15,18.0,"Q1 2026, Q4 2025, Q3 2025",10.0,24.0,21.0,61.2,Net Selling,"David Katz, Bill Nygren, David Rolfe, Mairs & Power Funds, Dodge & Cox Funds, +3 more","David Katz, Robert Olstein, Bill Nygren, David Rolfe, Warren Buffett, +9 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
COF,Capital One Financial,5,12894547000.0,3.27,16.0,"Q1 2026, Q4 2025, Q3 2025",6.0,26.0,18.0,51.2,Net Selling,"Bill Nygren, Viking Global Investors, Glenn Greenberg, Lee Ainslie, Ariel Investments, +1 more","Richard Pzena, David Katz, Bill Nygren, Viking Global Investors, Daniel Loeb, +11 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
NVDA,NVIDIA Corp.,5,7310616000.0,3.6,17.0,"Q1 2026, Q4 2025, Q3 2025",15.0,15.0,16.0,51.0,Mixed Signal,"Daniel Loeb, David Tepper, Duan Yongping, Samantha McLemore, Lee Ainslie, +7 more","David Katz, Bill Nygren, Viking Global Investors, David Tepper, Mairs & Power Funds, +6 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,Fiserv Inc.,5,4802094000.0,1.23,17.0,"Q4 2025, Q3 2025",20.0,9.0,10.0,49.3,Net Buying,"David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Norbert Lou, +10 more","David Katz, Robert Olstein, Norbert Lou, David Tepper, Mairs & Power Funds, +3 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
INTU,Intuit Inc.,5,1611598000.0,2.84,16.0,"Q1 2026, Q4 2025, Q3 2025",10.0,19.0,11.0,46.4,Net Selling,"Lindsell Train, Richard Pzena, David Katz, Viking Global Investors, Terry Smith, +3 more","Lindsell Train, David Katz, Bill Nygren, Viking Global Investors, Stephen Mandel, +8 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BAC,Bank of America Corp.,5,30995541000.0,2.42,15.0,"Q1 2026, Q4 2025, Q3 2025",3.0,27.0,15.0,45.0,Net Selling,"Mairs & Power Funds, Lee Ainslie, Ariel Investments","Richard Pzena, David Katz, Guy Spier, Bill Nygren, Viking Global Investors, +10 more",0,0,contrarian_opportunities,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
