ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,52_week_high,52_week_position_pct,near_52w_low,value_score,recent_buys,value_type,_analysis_type,_generated,_periods,_window_quarters
AMR,Alpha Metallurgical Resources Inc.,142.83,1,Mohnish Pabrai,119003000,28.14,205.27,28.14,-30.4184732303795,113.0,253.82,21.18307058656442,True,12.7,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
GPI,Group 1 Automotive,308.35,2,"Ruane Cunniff LP, Greg Alexander",250963000,23.84,330.655,47.66,-6.745701713266078,279.1,486.11,14.12975218588474,True,9.9,2.0,52-Week Low Value,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
LBRDK,Liberty Broadband Corp. CL C,30.77,4,"Bill Nygren, Ruane Cunniff LP, Wallace Weitz, First Pacific Advisors",523662000,1.65,50.3,3.34,-38.82703777335984,29.08,91.79,2.6949449848509026,True,9.5,3.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ZTS,Zoetis Inc.,75.95,5,"David Rolfe, Terry Smith, Ruane Cunniff LP, Polen Capital Management, Mairs & Power Funds",1293489000,2.98,118.21,4.76,-35.74993655359106,71.47,158.55,5.1446945337620615,True,9.4,5.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
BL,BlackLine Inc.,30.44,1,Glenn Welling,50602000,16.68,37.0,16.68,-17.729729729729726,24.7,59.57,16.461141382277034,True,9.4,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
LULU,Lululemon Athletica Inc.,116.64,4,"Viking Global Investors, Francois Rochon, Prem Watsa, Michael Burry",191662000,8.42,159.2725,32.35,-26.76701878855421,104.44,233.0,9.489732420659616,True,9.3,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
WIX,Wix.com Ltd.,53.22,2,"ValueAct Capital, Henry Ellenbogen",277964000,1.77,87.82,1.89,-39.39877021179685,40.16,190.93,8.66220070305764,True,9.1,3.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
NFLX,Netflix Inc.,67.49,8,"Bill Nygren, Christopher Bloomstran, Chase Coleman, Ruane Cunniff LP, Polen Capital Management, +3 more",1759515000,2.07,96.1725,7.8,-29.8240141412566,65.08,126.71,3.9104332305695215,True,9.0,8.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
QXO,Qxo Inc,13.54,2,"Samantha McLemore, Harry Burn",207953000,3.74,19.42,4.91,-30.278063851699287,13.54,27.61,0.0,True,9.0,4.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
HCC,Warrior Met Coal Inc.,78.51,2,"Mohnish Pabrai, Third Avenue Management",202586000,22.7,93.15,39.89,-15.71658615136876,48.87,110.39,48.179453836150856,False,8.9,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
TDS,Telephone & Data Systems,33.83,2,"Howard Marks, Daniel Loeb",458563000,8.77,42.1,13.34,-19.643705463182904,33.37,49.07,2.9299363057324888,True,8.8,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
INTU,Intuit Inc.,293.08,11,"David Katz, Lindsell Train, Lee Ainslie, Valley Forge Capital Management, Arnold Van Den Berg, +5 more",337160000,1.62,401.2063636363637,6.62,-26.95031122047825,251.72,804.66,7.480015914927477,True,8.7,10.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CSGP,CoStar Group Inc.,29.52,6,"Chase Coleman, Hillman Capital Management, Chuck Akre, Dennis Hong, Wallace Weitz, +1 more",1019929000,2.9,40.336666666666666,6.83,-26.81596562267581,26.68,97.43,4.014134275618375,True,8.7,7.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
AEM,Agnico-Eagle Mines Ltd.,136.55,3,"Arnold Van Den Berg, First Eagle Investment Management, Muhlenkamp",1083402000,3.14,203.0233333333333,7.41,-32.741720984451696,116.56,254.61,14.480260775081495,True,8.5,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
MSFT,Microsoft Corp.,400.76,40,"David Katz, Duan Yongping, Lee Ainslie, Viking Global Investors, Bill Nygren, +5 more",16224085000,3.76,370.32325,16.75,8.21896815822392,349.2,551.05,25.54372058459252,False,8.5,39.0,Value Play,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EXE,Expand Energy Corp.,87.34,2,"Howard Marks, Lee Ainslie",576179000,6.68,109.76,13.35,-20.426384839650137,84.99,125.18,5.84722567802938,True,8.3,4.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Transocean Ltd.,5.1,2,"Arnold Van Den Berg, Mohnish Pabrai",135387000,16.0,6.63,31.97,-23.07692307692308,2.59,7.66,49.50690335305719,False,8.2,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CVNA,Carvana Co.,64.04,7,"Lee Ainslie, Viking Global Investors, Henry Ellenbogen, Stephen Mandel, Clifford Sosin, +2 more",3419618000,17.76,62.892857142857146,81.67,1.8239636570130655,54.46,97.38,22.320596458527508,True,8.1,6.0,52-Week Low Value,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ATGE,Adtalem Global Education,0.0,1,John Rogers,222580000,2.49,115.25,2.49,-100.0,0.0,0.0,50.0,False,8.1,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
NRP,Natural Resource Partners,95.92,1,Bryan Lawrence,12349000,5.45,121.0,5.45,-20.727272727272723,94.84,127.1,3.3477991320520726,True,8.1,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EQT,EQT Corp.,49.17,4,"Lee Ainslie, Arnold Van Den Berg, Harry Burn, Muhlenkamp",119283000,3.17,63.6375,6.72,-22.73423688862699,47.94,68.05,6.116360019890622,True,8.0,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
AMRZ.SW,AMRIZE Ltd.,0.0,1,Leon Cooperman,49298000,1.62,56.02,1.62,-100.0,0.0,0.0,50.0,False,7.9,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CTSH,Cognizant Technology Solutions,44.42,5,"Sarah Ketterer, Dodge & Cox Funds, Jensen Investment Management, Yacktman Asset Management, Richard Pzena",2402103000,1.65,61.35,4.04,-27.59576202118989,37.08,85.98,15.010224948875262,True,7.8,3.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PDD,Pinduoduo Inc.,85.95,7,"Howard Marks, Duan Yongping, Li Lu, Norbert Lou, David Tepper, +2 more",3111456000,6.08,102.1857142857143,15.67,-15.888438417447231,71.94,139.41,20.764784348599385,True,7.5,6.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
Z,Zillow Group Inc.,33.0,2,"Chase Coleman, Kahn Brothers Group",327488000,2.66,41.38,4.0,-20.251329144514266,29.23,93.88,5.831399845320959,True,7.5,3.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CE,Celanese Corp.,44.74,2,"Dodge & Cox Funds, Muhlenkamp",1023165000,2.1,65.77,3.65,-31.97506461912725,35.09,70.7,27.09912945801741,False,7.5,3.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
MSTR,MicroStrategy Inc.,97.31,1,Bill Miller,6497000,1.7,124.8,1.7,-22.027243589743588,81.81,454.33,4.160850424138301,True,7.4,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
SHEN,Shenandoah Telecommunications Co.,11.22,1,Mason Hawkins,45339000,2.23,15.42,2.23,-27.237354085603112,9.67,17.35,20.18229166666667,True,7.3,1.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CPNG,Coupang Inc.,16.38,8,"Bill Nygren, Bill & Melinda Gates Foundation Trust, Henry Ellenbogen, Chase Coleman, Bill Miller, +3 more",2882730000,2.36,18.88125,6.39,-13.247269116186688,14.92,34.08,7.620041753653441,True,7.2,7.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
RGLD,Royal Gold Inc.,187.09,3,"Lee Ainslie, First Eagle Investment Management, Muhlenkamp",256971000,2.1,254.46666666666667,5.89,-26.47760020958868,149.46,304.97,24.197800784515454,True,7.2,2.0,Deep Discount,deep_value_plays,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
