ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,buy_count,activities,periods,shares_accumulated,current_holders,momentum_score,recency_bonus,momentum_type,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,407.78,"Richard Pzena, David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, +5 more",31358204000.0,4.96,28,Buy; Add 20.07%; Add 0.55%; Add 67.00%; Add 9.89%,"Q1 2026, Q4 2025, Q3 2025",5260172,40.0,105.95675,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMZN,Amazon.com Inc.,265.06,"David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, Daniel Loeb, +5 more",22458421000.0,6.6,24,Add 8.10%; Add 44.00%; Buy; Add 2.55%; Add 3.69%,"Q1 2026, Q3 2025, Q4 2025",15893115,33.0,92.6039393939394,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
META,Meta Platforms Inc.,611.91,"David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, Daniel Loeb, +5 more",14346768000.0,5.1,22,Add 2.34%; Add 14.40%; Add 38.60%; Add 14.00%; Add 11.11%,"Q1 2026, Q4 2025, Q3 2025",5486906,26.0,80.09615384615384,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
V,Visa Inc.,329.84,"Lindsell Train, David Katz, Robert Olstein, Viking Global Investors, ValueAct Capital, +5 more",22576626000.0,4.31,21,Add 3.00%; Add 0.97%; Add 0.44%; Add 95.83%; Add 37.53%,"Q1 2026, Q4 2025, Q3 2025",14108765,28.0,79.30964285714286,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOGL,Alphabet Inc.,384.8,"Lindsell Train, Richard Pzena, David Katz, Viking Global Investors, Christopher Bloomstran, +5 more",24636180000.0,4.78,15,Add 10.15%; Buy; Add 1.52%; Add 2.95%; Add 89.89%,"Q3 2025, Q4 2025",21393620,34.0,72.77970588235294,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
DIS,Walt Disney Co.,103.75,"Richard Pzena, Bill Nygren, Viking Global Investors, Christopher Bloomstran, Mairs & Power Funds, +5 more",3348633000.0,2.18,17,Add 3446.34%; Add 19.22%; Add 7.12%; Add 78.69%; Add 0.17%,"Q4 2025, Q3 2025",6570599,22.0,62.17772727272728,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOG,Alphabet Inc. CL C,381.94,"David Tepper, Duan Yongping, Lee Ainslie, Francois Rochon, Kahn Brothers Group, +3 more",20218780000.0,6.1,9,Add 28.79%; Add 2.48%; Buy; Add 0.20%; Add 0.52%,"Q4 2025, Q3 2025",2810441,32.0,60.1034375,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UNH,United Health Group Inc.,370.48,"David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Viking Global Investors, +5 more",6818930000.0,1.69,17,Buy; Add 53.33%; Add 1.21%; Add 93.49%; Add 8.63%,"Q3 2025, Q1 2026, Q4 2025",2427906,19.0,59.6878947368421,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
IEP,Icahn Enterprises,8.27,Carl Icahn,4147974000.0,49.12,2,Add 5.87%; Add 4.88%,"Q4 2025, Q3 2025",54616920,1.0,58.12,4,Moderate,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TSM,Taiwan Semiconductor S.A.,396.06,"Bill Nygren, Viking Global Investors, David Tepper, Mairs & Power Funds, Duan Yongping, +5 more",8512313000.0,2.77,14,Buy; Add 24.61%; Add 6.60%; Add 3.41%; Add 10.84%,"Q3 2025, Q4 2025",2971272,23.0,57.767826086956525,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,Fiserv Inc.,62.65,"David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Norbert Lou, +5 more",4802094000.0,1.23,20,Add 706.36%; Add 84.13%; Add 72.87%; Buy; Add 129.96%,"Q3 2025, Q4 2025",34804260,10.0,55.227,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BRK.B,Berkshire Hathaway CL B,473.6,"David Katz, Robert Olstein, Christopher Bloomstran, Duan Yongping, Thomas Russo, +3 more",16661841000.0,6.81,10,Add 0.09%; Add 44.74%; Add 1.45%; Add 38.24%; Add 53.53%,"Q3 2025, Q4 2025",4144059,23.0,53.80826086956522,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
NVDA,NVIDIA Corp.,199.57,"Daniel Loeb, David Tepper, Duan Yongping, Samantha McLemore, Lee Ainslie, +5 more",7310616000.0,3.6,15,Add 3.51%; Add 1.79%; Add 8.57%; Add 1110.62%; Add 0.97%,"Q4 2025, Q3 2025",14602084,16.0,53.595625,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AAPL,Apple Inc.,271.35,"David Katz, Bill Nygren, David Rolfe, Mairs & Power Funds, Dodge & Cox Funds, +3 more",72153679000.0,5.15,10,Add 4.41%; Add 3.39%; Add 3.11%; Add 2.94%; Add 3.52%,"Q1 2026, Q4 2025, Q3 2025",100170,21.0,51.15095238095238,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ADBE,Adobe Inc.,246.1,"Lindsell Train, Richard Pzena, Robert Olstein, Lee Ainslie, Dodge & Cox Funds, +1 more",1666097000.0,0.82,14,Add 32.08%; Add 17.78%; Add 26.40%; Add 20.67%; Add 4.36%,"Q1 2026, Q4 2025, Q3 2025",2478396,11.0,44.82272727272727,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ELV,Elevance Health Inc.,376.42,"Richard Pzena, Bill Nygren, Glenn Greenberg, Leon Cooperman, Seth Klarman, +4 more",4909526000.0,3.58,12,Add 1.78%; Add 50.31%; Add 39.43%; Add 65.28%; Add 21.36%,"Q1 2026, Q4 2025, Q3 2025",5302031,11.0,43.584545454545456,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
EFX,Equifax Inc.,173.94,"Lindsell Train, Robert Olstein, Bill Nygren, Valley Forge Capital Management, AKO Capital, +3 more",2466791000.0,1.46,13,Add 4.55%; Add 4.76%; Add 1.94%; Add 105.56%; Add 20.00%,"Q1 2026, Q4 2025, Q3 2025",2541841,10.0,42.462,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TMO,Thermo Fisher Scientific,478.96,"David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, Viking Global Investors, +3 more",1570933000.0,1.73,11,Add 5.65%; Add 0.63%; Add 5.47%; Add 1.69%; Add 146.02%,"Q1 2026, Q3 2025, Q4 2025",996422,13.0,41.72615384615385,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SPGI,S&P Global Inc.,431.23,"Lindsell Train, Robert Olstein, David Rolfe, Valley Forge Capital Management, Glenn Greenberg, +2 more",8107235000.0,4.28,11,Add 7.35%; Add 4.62%; Add 10.17%; Add 73.08%; Add 44.44%,"Q1 2026, Q4 2025, Q3 2025",726120,10.0,41.276,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,Comcast Corp.,27.04,"David Katz, First Pacific Advisors, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, +2 more",5694761000.0,1.17,11,Add 50.59%; Add 2.90%; Add 1.33%; Add 24.48%; Add 3.07%,"Q1 2026, Q3 2025, Q4 2025",8501079,13.0,41.17384615384616,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UNP,Union Pacific,269.48,"Bill Nygren, Daniel Loeb, Lee Ainslie, Seth Klarman, Thomas Russo, +1 more",2050217000.0,1.8,12,Add 149.49%; Buy; Add 106.86%; Add 17.71%; Add 8.76%,"Q4 2025, Q3 2025",8451240,10.0,39.797,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TSN,Tyson Foods,64.07,"Richard Pzena, David Katz, Lee Ainslie, Thomas Gayner, Tweedy Browne, +1 more",2075958000.0,1.67,13,Add 12.05%; Add 10.71%; Add 0.88%; Add 0.85%; Add 2.51%,"Q1 2026, Q4 2025, Q3 2025",7641427,7.0,39.67142857142857,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AON,Aon Plc,311.65,"First Pacific Advisors, Bill Nygren, Viking Global Investors, Dodge & Cox Funds, Wallace Weitz, +3 more",5774011000.0,1.34,11,Add 0.32%; Add 0.37%; Add 0.72%; Buy; Add 126.64%,"Q4 2025, Q3 2025",9291206,12.0,39.33833333333333,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
MA,Mastercard Inc.,502.92,"Stephen Mandel, Valley Forge Capital Management, AKO Capital, Francois Rochon, John Armitage, +1 more",8496922000.0,5.26,6,Buy; Add 0.18%; Add 3.73%; Add 9.55%; Add 6.47%,"Q4 2025, Q3 2025",268559,18.0,39.263333333333335,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
PG,Procter & Gamble,147.09,"David Katz, Bill Nygren, Mairs & Power Funds, Terry Smith, Lee Ainslie, +5 more",1121077000.0,1.26,12,Add 2220.46%; Add 2.76%; Add 9.55%; Add 14.77%; Add 20.57%,"Q1 2026, Q4 2025, Q3 2025",154573,9.0,39.26111111111111,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FERG,Ferguson Enterprises Inc.,267.71,"Henry Ellenbogen, Lee Ainslie, Seth Klarman, Francois Rochon, William Von Mueffling, +3 more",1896242000.0,2.05,11,Add 43.38%; Buy; Add 50.09%; Add 2.08%; Add 2.45%,"Q4 2025, Q3 2025",2048904,11.0,39.04545454545455,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CVNA,Carvana Co.,395.8,"Viking Global Investors, Stephen Mandel, Henry Ellenbogen, Lee Ainslie",3861633000.0,17.94,5,Add 94.92%; Add 0.80%; Add 3.65%; Add 112.31%; Buy,"Q3 2025, Q4 2025",1531744,7.0,38.94,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
INTU,Intuit Inc.,388.5,"Lindsell Train, Richard Pzena, David Katz, Viking Global Investors, Terry Smith, +3 more",1611598000.0,2.84,10,Add 20.23%; Buy; Add 720.67%; Add 0.22%; Add 3.50%,"Q1 2026, Q3 2025, Q4 2025",1338731,11.0,38.844545454545454,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CRM,Salesforce.com,176.53,"Bill Nygren, ValueAct Capital, Mairs & Power Funds, Harry Burn, Vulcan Value Partners, +2 more",5232322000.0,3.03,10,Add 38.95%; Add 135.47%; Add 3.31%; Add 0.42%; Add 16.13%,"Q4 2025, Q3 2025",8926343,11.0,38.03454545454545,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TXN,Texas Instruments,281.08,"David Katz, Robert Olstein, Mairs & Power Funds, Terry Smith, Wallace Weitz, +3 more",1843851000.0,1.48,10,Add 3.27%; Add 30.84%; Add 1.08%; Add 12.50%; Add 2.54%,"Q1 2026, Q4 2025, Q3 2025",628202,11.0,37.47727272727273,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
COF,Capital One Financial,191.3,"Bill Nygren, Viking Global Investors, Glenn Greenberg, Lee Ainslie, Ariel Investments, +1 more",12894547000.0,3.27,6,Add 19.94%; Add 30.28%; Add 4.57%; Add 19.60%; Add 9.37%,"Q4 2025, Q3 2025",4026067,18.0,37.27222222222223,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SCHW,Charles Schwab Corp.,91.64,"Bill Nygren, Viking Global Investors, Lee Ainslie, Francois Rochon, Thomas Gayner, +1 more",12697905000.0,2.78,9,Add 3.75%; Add 5.13%; Add 44.02%; Buy; Add 0.63%,"Q4 2025, Q3 2025",2893264,12.0,36.78083333333333,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
RIG,Transocean Ltd.,6.82,Mohnish Pabrai,111676000.0,27.78,2,Add 10.63%; Buy,"Q4 2025, Q3 2025",27040133,1.0,36.78,4,Moderate,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UBER,Uber Technologies Inc.,74.61,"Robert Olstein, First Pacific Advisors, Thomas Russo, Polen Capital Management, William Von Mueffling, +2 more",4075820000.0,3.05,9,Add 15.22%; Add 64.29%; Buy; Add 1.96%; Add 9.22%,"Q1 2026, Q4 2025, Q3 2025",7793923,10.0,36.054,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMR,Alpha Metallurgical Resources Inc.,186.45,Mohnish Pabrai,108535000.0,27.0,2,Add 2.07%; Add 15.57%,"Q4 2025, Q3 2025",82673,1.0,36.0,4,Moderate,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
NKE,NIKE Inc.,44.36,"Lindsell Train, David Katz, Robert Olstein, Bill Nygren, Viking Global Investors, +3 more",1376099000.0,0.82,10,Add 1.96%; Buy; Add 2.88%; Add 6.12%; Add 72.34%,"Q1 2026, Q4 2025, Q3 2025",8546313,10.0,35.815,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
STZ,Constellation Brands,156.58,"Richard Pzena, David Katz, Robert Olstein, Bill Nygren, Lee Ainslie, +1 more",2343514000.0,0.89,11,Add 1.00%; Buy; Add 1.91%; Add 16.81%; Add 26.32%,"Q1 2026, Q4 2025, Q3 2025",2171364,7.0,34.89285714285714,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMAT,Applied Materials,394.49,"Richard Pzena, David Katz, Glenn Greenberg, Lee Ainslie, William Von Mueffling, +3 more",2469590000.0,1.56,9,Buy; Add 41.98%; Add 0.76%; Add 9.53%; Add 29.90%,"Q3 2025, Q4 2025",1826274,11.0,34.56,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BAX,Baxter International Inc.,17.58,"Richard Pzena, Robert Olstein, Hillman Value Fund, Greenhaven Associates, Dodge & Cox Funds",2585493000.0,1.55,10,Add 22.06%; Add 45.89%; Add 11.27%; Add 14.25%; Add 35.69%,"Q4 2025, Q3 2025, Q1 2026",50513704,8.0,34.5475,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AVGO,Broadcom Inc.,417.43,"David Katz, Stephen Mandel, Mairs & Power Funds, Chase Coleman, Sarah Ketterer, +2 more",4542521000.0,2.32,8,Add 2.47%; Add 11.67%; Buy; Add 22.46%; Add 6.90%,"Q3 2025, Q4 2025",6582484,12.0,34.32,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CHTR,Charter Communications,165.17,"First Pacific Advisors, Bill Nygren, Lee Ainslie, Dodge & Cox Funds, Wallace Weitz, +1 more",5041327000.0,3.66,8,Add 3.13%; Add 24.33%; Buy; Add 23.73%; Add 6.12%,"Q3 2025, Q4 2025",6599565,10.0,33.661,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
HCC,Warrior Met Coal Inc.,89.85,"Mohnish Pabrai, Third Avenue Management",210122000.0,24.41,2,Add 0.00%; Add 0.04%,Q3 2025,318,2.0,33.41,3,Moderate,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
XOM,Exxon Mobil Corp.,154.33,"Richard Pzena, Christopher Bloomstran, Mairs & Power Funds, Thomas Russo, Kahn Brothers Group, +2 more",1086273000.0,0.41,10,Add 1.17%; Add 1.77%; Add 23.87%; Add 103.40%; Add 0.67%,"Q3 2025, Q4 2025",105145,9.0,33.406666666666666,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ASML,ASML Holding NV,1438.99,"Stephen Mandel, Valley Forge Capital Management, Duan Yongping, Pat Dorsey, Lee Ainslie, +1 more",1471034000.0,5.21,8,Buy; Add 0.49%; Add 11.04%; Add 23.74%; Add 37.09%,"Q4 2025, Q3 2025",1031159,8.0,33.20875,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
RKT,Rocket Companies Inc.,14.62,"Daniel Loeb, ValueAct Capital, Henry Ellenbogen, Leon Cooperman, First Eagle Investment Management, +1 more",1754215000.0,6.07,9,Add 137.88%; Add 55.07%; Add 67.90%; Add 58.95%; Buy,"Q4 2025, Q3 2025",68356092,5.0,33.074,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FICO,Fair Isaac Corp.,1025.0,"Lindsell Train, Valley Forge Capital Management, Chuck Akre, Jensen Investment Management, Yacktman Asset Management",2233929000.0,6.59,7,Add 15.16%; Add 0.13%; Add 6.36%; Add 2751.43%; Buy,"Q1 2026, Q4 2025, Q3 2025",306492,7.0,32.58714285714286,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ACN,Accenture,178.71,"Richard Pzena, David Katz, Ruane Cunniff LP, Wallace Weitz",1345894000.0,1.43,9,Add 83.96%; Add 286.98%; Buy; Add 67.73%; Add 110.58%,"Q1 2026, Q4 2025, Q3 2025",3417565,8.0,32.43,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ZBH,Zimmer Biomet Holdings,82.43,"Robert Olstein, Bill Nygren, Dodge & Cox Funds, Ariel Investments, Sarah Ketterer",3370074000.0,1.32,9,Add 6.10%; Add 5.13%; Add 158.17%; Add 27.29%; Add 1.25%,"Q1 2026, Q4 2025, Q3 2025",10242773,8.0,32.31625,5,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CP,Canadian Pacific Kansas City,86.96,"Lindsell Train, AKO Capital, William Von Mueffling, Thomas Gayner, First Eagle Investment Management",4970840000.0,4.08,9,Add 5.26%; Add 114.29%; Add 269.87%; Buy; Add 0.81%,"Q4 2025, Q3 2025",3058480,6.0,32.07833333333333,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
MCO,Moody's Corp.,461.85,"Valley Forge Capital Management, Chris Hohn, William Von Mueffling, John Armitage",22505582000.0,4.78,4,Add 0.24%; Add 0.46%; Add 0.77%; Buy,"Q4 2025, Q3 2025",841452,15.0,31.78066666666667,4,Recent Surge,momentum_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
