ticker,company_name,managers_shown,total_value,unique_sellers,selling_managers,periods,shares_sold,remaining_holders,exit_rate_pct,total_sells,exit_status,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,5,31358204000.0,29,"David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, Daniel Loeb, +5 more","Q4 2025, Q3 2025",28205473,40.0,42.028985507246375,43,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOGL,Alphabet Inc.,5,24636180000.0,28,"Lindsell Train, David Katz, Guy Spier - Aquamarine Capital, Hillman Value Fund, First Pacific Advisors, +5 more","Q4 2025, Q3 2025, Q1 2026",24366811,34.0,45.16129032258064,43,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOG,Alphabet Inc. CL C,5,20218780000.0,27,"David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, Bill Ackman, +5 more","Q4 2025, Q3 2025, Q1 2026",16576205,32.0,45.76271186440678,46,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
META,Meta Platforms Inc.,5,14346768000.0,25,"David Katz, First Pacific Advisors, Viking Global Investors, Daniel Loeb, Stephen Mandel, +5 more","Q4 2025, Q3 2025",11657847,26.0,49.01960784313725,36,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMZN,Amazon.com Inc.,5,22458421000.0,21,"David Katz, First Pacific Advisors, Bill Nygren, Viking Global Investors, Daniel Loeb, +5 more","Q4 2025, Q3 2025",24652024,33.0,38.88888888888889,31,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
UNH,United Health Group Inc.,5,6818930000.0,19,"David Katz, Robert Olstein, Hillman Value Fund, Stephen Mandel, Glenn Greenberg, +5 more","Q4 2025, Q3 2025, Q1 2026",5036488,19.0,50.0,26,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TSM,Taiwan Semiconductor S.A.,5,8512313000.0,18,"Richard Pzena, Hillman Value Fund, Bill Nygren, Viking Global Investors, Daniel Loeb, +5 more","Q4 2025, Q3 2025, Q1 2026",4746353,23.0,43.90243902439025,27,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BRK.B,Berkshire Hathaway CL B,5,16661841000.0,17,"David Katz, Guy Spier - Aquamarine Capital, Bill Nygren, Bill & Melinda Gates Foundation Trust, Christopher Bloomstran, +5 more","Q4 2025, Q3 2025",4896496,23.0,42.5,26,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
COF,Capital One Financial,5,12894547000.0,16,"Richard Pzena, David Katz, Bill Nygren, Viking Global Investors, Daniel Loeb, +5 more","Q4 2025, Q3 2025, Q1 2026",13622166,18.0,47.05882352941176,26,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BAC,Bank of America Corp.,5,30995541000.0,15,"Richard Pzena, David Katz, Guy Spier - Aquamarine Capital, Bill Nygren, Viking Global Investors, +5 more","Q4 2025, Q3 2025, Q1 2026",145946058,15.0,50.0,27,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
DIS,Walt Disney Co.,5,3348633000.0,15,"Lindsell Train, Robert Olstein, Hillman Value Fund, Bill Nygren, ValueAct Capital, +5 more","Q4 2025, Q3 2025, Q1 2026",4039592,22.0,40.54054054054054,25,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AAPL,Apple Inc.,5,72153679000.0,14,"David Katz, Robert Olstein, Bill Nygren, David Rolfe, Warren Buffett, +5 more","Q4 2025, Q3 2025",55248732,21.0,40.0,24,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
V,Visa Inc.,5,22576626000.0,14,"Bill Nygren, David Rolfe, Mairs & Power Funds, AKO Capital, Chris Hohn, +5 more","Q4 2025, Q3 2025",3747521,28.0,33.33333333333333,21,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
INTU,Intuit Inc.,5,1611598000.0,13,"Lindsell Train, David Katz, Bill Nygren, Viking Global Investors, Stephen Mandel, +5 more","Q4 2025, Q3 2025",2950006,11.0,54.16666666666666,19,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
JPM,JPMorgan Chase & Co.,5,1684962000.0,13,"Richard Pzena, David Katz, Greenhaven Associates, Bill Nygren, Viking Global Investors, +5 more","Q4 2025, Q3 2025, Q1 2026",3658324,15.0,46.42857142857143,20,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AXP,American Express,5,57275955000.0,13,"Lindsell Train, David Katz, Guy Spier - Aquamarine Capital, Bill Nygren, Christopher Bloomstran, +5 more","Q4 2025, Q3 2025, Q1 2026",633388,16.0,44.82758620689656,24,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
MA,Mastercard Inc.,5,8496922000.0,13,"Guy Spier - Aquamarine Capital, Bill Nygren, Mairs & Power Funds, Terry Smith, AltaRock Partners, +5 more","Q4 2025, Q3 2025",1520086,18.0,41.935483870967744,20,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ORCL,Oracle Corp.,5,3398661000.0,12,"Lindsell Train, Bill Nygren, David Tepper, Ariel Investments, Sarah Ketterer, +5 more","Q4 2025, Q3 2025",8670021,12.0,50.0,18,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
WFC,Wells Fargo,5,6142291000.0,12,"Richard Pzena, David Katz, Robert Olstein, First Pacific Advisors, Bill Nygren, +5 more","Q4 2025, Q3 2025, Q1 2026",22740719,15.0,44.44444444444444,25,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
PEP,PepsiCo Inc.,5,580326000.0,11,"Lindsell Train, David Katz, Robert Olstein, Bill Nygren, Mairs & Power Funds, +5 more","Q4 2025, Q3 2025, Q1 2026",1295670,13.0,45.83333333333333,17,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
NVDA,NVIDIA Corp.,5,7310616000.0,11,"David Katz, Bill Nygren, Viking Global Investors, David Tepper, Mairs & Power Funds, +5 more","Q4 2025, Q3 2025, Q1 2026",7602394,16.0,40.74074074074074,15,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FLUT,Flutter Entertainment Plc,5,2420711000.0,10,"Bill Nygren, Viking Global Investors, Daniel Loeb, Stephen Mandel, Henry Ellenbogen, +5 more","Q4 2025, Q3 2025",8392457,7.0,58.82352941176471,13,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BKNG,Booking Holdings Inc.,5,4511304000.0,10,"Bill Nygren, Stephen Mandel, Henry Ellenbogen, David Rolfe, AKO Capital, +5 more","Q4 2025, Q3 2025",4447400,8.0,55.55555555555556,13,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
DHR,Danaher Corp.,5,551043000.0,10,"David Katz, Bill Nygren, Viking Global Investors, Daniel Loeb, Mairs & Power Funds, +5 more","Q4 2025, Q3 2025, Q1 2026",5820290,10.0,50.0,14,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
C,Citigroup Inc.,5,2938353000.0,9,"Richard Pzena, Greenhaven Associates, First Pacific Advisors, Bill Nygren, Samantha McLemore, +4 more","Q4 2025, Q3 2025, Q1 2026",30693556,8.0,52.94117647058824,19,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
XOM,Exxon Mobil Corp.,5,1086273000.0,9,"Richard Pzena, David Katz, Bill Nygren, Christopher Bloomstran, Dodge & Cox Funds, +4 more","Q4 2025, Q3 2025, Q1 2026",114457,9.0,50.0,13,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BABA,Alibaba Group Holdings,5,2975796000.0,9,"Richard Pzena, Guy Spier - Aquamarine Capital, Bill Nygren, David Tepper, Duan Yongping, +4 more","Q4 2025, Q3 2025",4590597,11.0,45.0,14,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CVS,CVS Health Corp.,5,7389973000.0,9,"Richard Pzena, David Katz, Robert Olstein, Hillman Value Fund, Bill Nygren, +4 more","Q4 2025, Q3 2025, Q1 2026",14646468,11.0,45.0,19,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TXN,Texas Instruments,5,1843851000.0,9,"Robert Olstein, Bill Nygren, Glenn Greenberg, Mairs & Power Funds, Terry Smith, +4 more","Q4 2025, Q3 2025, Q1 2026",436736,11.0,45.0,12,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AVGO,Broadcom Inc.,5,4542521000.0,9,"David Katz, First Pacific Advisors, Bill Nygren, Mairs & Power Funds, Chase Coleman, +4 more","Q4 2025, Q3 2025",1937186,12.0,42.85714285714285,13,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,Comcast Corp.,5,5694761000.0,9,"David Katz, Robert Olstein, Hillman Value Fund, First Pacific Advisors, Mairs & Power Funds, +4 more","Q4 2025, Q3 2025",3972853,13.0,40.909090909090914,11,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
TMO,Thermo Fisher Scientific,5,1570933000.0,9,"Lindsell Train, David Katz, Robert Olstein, Mairs & Power Funds, AKO Capital, +4 more","Q4 2025, Q3 2025, Q1 2026",2479209,13.0,40.909090909090914,12,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
MCO,Moody's Corp.,5,22505582000.0,9,"Bill Nygren, AKO Capital, Lee Ainslie, AltaRock Partners, Chuck Akre, +4 more","Q4 2025, Q3 2025",892526,15.0,37.5,13,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SE,Sea Ltd,5,2537710000.0,8,"Viking Global Investors, Daniel Loeb, Stephen Mandel, Chase Coleman, Howard Marks, +3 more","Q4 2025, Q3 2025",3449477,5.0,61.53846153846154,11,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
