ticker,company_name,top_managers,managers_shown,manager_count,trend,momentum,buys,adds,reduces,sells,recent_activity,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,"Terry Smith, Stephen Mandel, Chris Hohn",3,43,Slight Distribute,-19.9,27,201,324,17,117,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
META,Meta Platforms Inc.,"Pat Dorsey, David Rolfe, Stephen Mandel",3,44,Slight Distribute,-16.5,38,193,286,36,102,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GOOGL,Alphabet Inc.,"David Rolfe, Glenn Greenberg, Bill Nygren",3,43,Distributing,-25.6,39,147,284,30,97,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AMZN,Amazon.com Inc.,"Stephen Mandel, David Tepper, John Armitage",3,43,Slight Distribute,-5.8,40,154,192,26,87,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GOOG,Alphabet Inc. CL C,"Pat Dorsey, David Tepper, John Armitage",3,40,Distributing,-32.2,20,153,321,16,87,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
V,Visa Inc.,"David Rolfe, Terry Smith, AKO Capital",3,32,Slight Distribute,-15.1,17,146,210,11,70,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
UNH,United Health Group Inc.,"Stephen Mandel, Mairs & Power Growth Fund, David Tepper",3,31,Slight Distribute,-19.4,25,87,144,22,66,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
TSM,Taiwan Semiconductor S.A.,"William Von Mueffling, David Rolfe, Francois Rochon",3,24,Slight Distribute,-7.2,21,69,98,6,62,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
COF,Capital One Financial,"Bill Nygren, Richard Pzena, Harry Burn",3,22,Distributing,-24.6,17,61,123,6,55,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.B,Berkshire Hathaway CL B,"Bill & Melinda Gates Foundation Trust, Ruane Cunniff, Chuck Akre",3,30,Distributing,-29.3,15,150,285,17,54,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
DIS,Walt Disney Co.,"Lindsell Train, Christopher Bloomstran, Francois Rochon",3,32,Slight Distribute,-7.7,22,104,126,21,53,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AAPL,Apple Inc.,"David Rolfe, Warren Buffett, Francois Rochon",3,31,Slight Distribute,-15.7,21,86,132,15,53,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
NVDA,NVIDIA Corp.,"Mairs & Power Growth Fund, David Tepper, David Katz",3,19,Slight Accumulate,5.8,20,44,48,9,50,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
INTU,Intuit Inc.,"Lindsell Train, Terry Smith, Jensen Investment Management",3,16,Slight Distribute,-20.0,11,53,87,9,45,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BAC,Bank of America Corp.,"Bill Nygren, Richard Pzena, Francois Rochon",3,29,Distributing,-22.5,20,85,143,23,43,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
WFC,Wells Fargo,"Warren Buffett, Richard Pzena, Mairs & Power Growth Fund",3,29,Distributing,-36.9,20,75,185,21,42,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MA,Mastercard Inc.,"Chuck Akre, John Armitage, Bill Nygren",3,28,Distributing,-27.2,17,101,187,19,40,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
FISV,Fiserv Inc.,"John Armitage, Samantha McLemore, Mairs & Power Growth Fund",3,24,Slight Distribute,-14.6,20,59,86,20,39,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
SCHW,Charles Schwab Corp.,"Glenn Greenberg, Francois Rochon, John Rogers",3,16,Slight Distribute,-8.3,11,94,117,7,37,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
FLUT,Flutter Entertainment Plc,"William Von Mueffling, John Armitage, Daniel Loeb",3,11,Slight Accumulate,17.0,10,21,16,6,36,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BKNG,Booking Holdings Inc.,"David Rolfe, AKO Capital, Stephen Mandel",3,21,Distributing,-25.5,23,50,102,21,35,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
JPM,JPMorgan Chase & Co.,"Glenn Greenberg, Francois Rochon, Bill Nygren",3,23,Distributing,-32.6,9,79,161,12,35,stock_timelines,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
