ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
STLA,Stellantis N.V.,5.73,4,"Viking Global Investors, Ruane Cunniff LP, Francis Chou, Greenhaven Associates",122240000,1.27,17436537,4.76,3.0,Q4 2025,12.2675,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
TME,Tencent Music Entertainment Grp,9.18,4,"Li Lu, Sarah Ketterer, Polen Capital Management, William Von Mueffling",194849000,0.71,20996609,1.91,2.0,Q4 2025,10.71,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
DCH,Dauch Corp.,5.33,3,"David Einhorn, Alex Roepers, Bill Miller",68475000,5.53,11547255,13.27,4.0,Q4 2025,15.533333333333337,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
WEN,Wendy's Co.,7.84,3,"Nelson Peltz, Bill Nygren, Prem Watsa",275564000,2.24,39644725,5.48,3.0,Q4 2025,11.236666666666666,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PSKY,Paramount Skydance Corp.,8.66,3,"David Einhorn, Christopher Bloomstran, John Rogers",64269000,0.69,7125107,1.11,1.0,Q1 2026,7.69,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ABEV,Ambev S.A.,3.07,3,"First Eagle Investment Management, Dodge & Cox Funds, Richard Pzena",1027864000,0.59,352008185,1.72,4.0,Q4 2025,10.586666666666666,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
OEC,Orion SA,6.86,3,"First Pacific Advisors, Tweedy Browne, Richard Pzena",33009000,0.06,5078415,0.1,3.0,Q4 2025,9.056666666666668,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Transocean Ltd.,5.1,2,"Arnold Van Den Berg, Mohnish Pabrai",135387000,16.0,20420415,31.97,1.0,Q4 2025,21.005,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CLF,Cleveland-Cliffs Inc.,8.97,2,"Prem Watsa, Mairs & Power Funds",125864000,3.24,14912773,6.47,1.0,Q4 2025,8.235,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CCC,CCC Intelligent Solutions Hldgs Inc.,6.25,2,"Triple Frond Partners, Chuck Akre",221556000,3.23,36926106,3.37,5.0,Q4 2025,12.23,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PTLO,Portillo's Inc Cl A,4.58,2,"Glenn Welling, Bill Miller",18897000,3.09,3572313,6.0,2.0,Q1 2026,9.09,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
STKL-OLD,SunOpta Inc.,6.5,2,"Howard Marks, Leon Cooperman",194494000,2.55,30026126,3.12,2.0,Q4 2025,8.55,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
TDAY,Gannett Co.,8.48,2,"Leon Cooperman, Bill Miller",58100000,2.54,8241241,3.62,3.0,Q4 2025,9.535,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EVH,Evolent Health Inc.,5.88,2,"Lee Ainslie, Glenn Welling",18552000,2.12,8136675,4.18,2.0,Q4 2025,8.125,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
MBI,MBIA Inc.,6.38,2,"Francis Chou, Kahn Brothers Group",14051000,1.53,2377434,2.15,1.0,Q1 2026,6.53,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EQX,Equinox Gold Corp,8.71,2,"Lee Ainslie, Muhlenkamp",8512000,1.0,588729,1.98,3.0,Q4 2025,7.995,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ABR,Arbor Realty Trust Inc.,5.01,2,"Leon Cooperman, Bill Miller",16685000,0.8,2164000,1.22,1.0,Q1 2026,5.805,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
SRTA,Strata Critical Medical Inc.,5.03,2,"Daniel Loeb, First Eagle Investment Management",30373000,0.51,7266243,1.0,2.0,Q4 2025,6.51,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
STUB,Stubhub Holdings Inc Class A,9.13,2,"Lee Ainslie, David Einhorn",32227000,0.45,5164673,0.83,1.0,Q1 2026,5.45,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EMBC,Embecta Corp,3.4,2,"Tweedy Browne, Yacktman Asset Management",33125000,0.24,3747233,0.43,4.0,Q4 2025,8.24,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PLAY,Dave & Buster's Ent. Inc.,9.88,2,"Lee Ainslie, Samantha McLemore",13112000,0.24,1210772,0.47,1.0,Q4 2025,5.24,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
MBC,Masterbrand Inc,8.56,2,"Bill Miller, Richard Pzena",32565000,0.16,3918868,0.23,2.0,Q1 2026,6.165,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ARCO,Arcos Dorados Holdings Inc.,8.19,2,"Dodge & Cox Funds, Richard Pzena",89547000,0.14,10854132,0.29,2.0,Q4 2025,6.145,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
HAFN,Hafnia Ltd,7.36,2,"Sarah Ketterer, Tweedy Browne",3280000,0.12,431270,0.23,3.0,Q4 2025,7.12,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
IEP,Icahn Enterprises,7.51,1,Carl Icahn,4147974000,48.49,549400539,48.49,1.0,Q4 2025,51.49,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
UAA,Under Armour Inc.,7.29,1,Prem Watsa,253705000,13.06,43000872,13.06,2.0,Q4 2025,17.060000000000002,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
UA,Under Armour CL C,7.12,1,Prem Watsa,126935000,6.53,21999128,6.53,2.0,Q4 2025,10.53,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
GTN,Gray Television Inc.,4.11,1,Bill Miller,23306000,6.08,5370100,6.08,2.0,Q4 2025,10.08,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
QUAD,Quad/Graphics Inc.,8.63,1,Bill Miller,17523000,4.57,2651039,4.57,1.0,Q4 2025,7.57,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
LUMN,Lumen Technologies Inc.,6.28,1,Arnold Van Den Berg,16874000,3.87,2427862,3.87,1.0,Q1 2026,6.87,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
CNDT,Conduent Inc.,1.6,1,Bill Miller,12831000,3.35,10023930,3.35,2.0,Q4 2025,7.35,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
BLMN,Bloomin Brands Inc.,8.34,1,Bill Miller,10998000,2.87,2036734,2.87,1.0,Q1 2026,5.87,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PGEN,Precigen Inc.,4.99,1,Samantha McLemore,68953000,2.57,17817387,2.57,1.0,Q4 2025,5.57,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ITUB,ita Unibanco Holding S.A.,8.31,1,Howard Marks,102144000,2.37,12188995,2.37,1.0,Q4 2025,5.37,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
INFQ,Infleqtion Inc,9.11,1,Lee Ainslie,195630000,2.28,19941924,2.28,1.0,Q1 2026,5.279999999999999,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
JELD,JELD-WEN Holding Inc.,1.16,1,Bill Miller,8209000,2.14,6619885,2.14,2.0,Q4 2025,6.140000000000001,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
ESRT,Empire State Realty Trust Inc.,5.57,1,Mason Hawkins,33661000,1.66,6473317,1.66,2.0,Q4 2025,5.66,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PTON,Peloton Interactive Inc.,6.54,1,David Einhorn,43389000,1.36,10113940,1.36,1.0,Q1 2026,4.36,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
AQN,Algonquin Power & Utilities,5.81,1,John Rogers,120600000,1.35,19641661,1.35,1.0,Q1 2026,4.35,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
YMM,Full Truck Alliance  Spn ADR,9.32,1,Christopher Davis,238734000,1.1,28763191,1.1,2.0,Q4 2025,5.1,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
OSG,Octave Specialty Group Inc.,6.1,1,Third Avenue Management,6237000,1.01,1341211,1.01,2.0,Q4 2025,5.01,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
WVE,Wave Life Sciences Ltd.,5.73,1,Lee Ainslie,73670000,0.86,10161399,0.86,2.0,Q4 2025,4.859999999999999,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
TIC,Acuren Corporation,6.53,1,Viking Global Investors,235726000,0.66,35824562,0.66,1.0,Q1 2026,3.66,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
WLTH,Wealthfront Corp,9.34,1,Chase Coleman,140201000,0.61,15156877,0.61,1.0,Q4 2025,3.61,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
NWL,Newell Brands Inc.,5.15,1,Richard Pzena,163964000,0.53,47802935,0.53,1.0,Q4 2025,3.53,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
PAGS,PagSeguro Digital Ltd.,9.24,1,Sarah Ketterer,40524000,0.5,4044350,0.5,1.0,Q4 2025,3.5,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
VYX,NCR Voyix Corp.,8.21,1,First Pacific Advisors,34214000,0.49,5405082,0.49,2.0,Q4 2025,4.49,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
SPRY,Ars Pharmaceuticals Inc,6.6,1,Daniel Loeb,8030000,0.39,1000000,0.39,2.0,Q4 2025,4.390000000000001,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
EVLV,Evolv Technologies Holdings,5.56,1,Torray Funds,2138000,0.34,353367,0.34,1.0,Q1 2026,3.34,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
MINE,Mayfair Gold Corp,2.34,1,Howard Marks,13866000,0.32,4500000,0.32,1.0,Q1 2026,3.32,Low Price,stocks_under_$10,2026-07-20,"Q2 2026, Q1 2026, Q4 2025",3
