ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,index,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
DIS,Walt Disney Co.,96.25,22,"Duan Yongping, Lee Ainslie, Viking Global Investors, ValueAct Capital, Christopher Bloomstran, +5 more",2998620000,1.79,297,31112469,9.85,27.0,Q4 2025,72.78681818181818,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BAC,Bank of America Corp.,56.98,15,"Li Lu, Bill Nygren, Glenn Greenberg, Warren Buffett, Arnold Van Den Berg, +5 more",26718753000,1.59,95,548077005,9.52,5.0,Q3 2025,36.588,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
WFC,Wells Fargo,82.64,15,"Bill Nygren, Dodge & Cox Funds, Francis Chou, First Pacific Advisors, Mairs & Power Funds, +5 more",5049653000,1.39,1084,63429868,3.26,2.0,Q4 2025,33.391333333333336,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,Comcast Corp.,24.55,14,"Bill Nygren, Glenn Greenberg, Hillman Capital Management, First Eagle Investment Management, Wallace Weitz, +5 more",5511832000,1.19,221,191983018,3.52,17.0,Q4 2025,46.18571428571428,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
UBER,Uber Technologies Inc.,72.16,11,"Bill Ackman, David Tepper, Chase Coleman, Pat Dorsey, Polen Capital Management, +5 more",4073814000,3.97,1016,56635826,15.71,16.0,Q4 2025,41.96545454545455,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SCHW,Charles Schwab Corp.,92.27,11,"Viking Global Investors, Bill Nygren, Francois Rochon, Ruane Cunniff LP, John Rogers, +5 more",11652965000,2.72,884,123994094,7.35,13.0,Q4 2025,37.71909090909091,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
SUNB,Sunbelt Rentals Holdings Inc,74.81,10,"Abrams Bison Investments, Bill Nygren, Glenn Greenberg, Francois Rochon, Pat Dorsey, +5 more",6217357000,6.56,951,95520083,35.38,11.0,Q1 2026,37.558,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,Fiserv Inc.,49.05,10,"Bill Nygren, Mason Hawkins, Hillman Capital Management, John Rogers, First Eagle Investment Management, +5 more",4621116000,1.21,376,82815682,3.13,28.0,Q4 2025,49.214,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KO,Coca Cola Co.,81.27,9,"Lee Ainslie, Christopher Bloomstran, Warren Buffett, Dodge & Cox Funds, Mairs & Power Funds, +4 more",30692464000,1.69,572,403582686,11.56,5.0,Q4 2025,24.68888888888889,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
PFE,Pfizer Inc.,24.08,9,"Prem Watsa, Hillman Capital Management, Sarah Ketterer, Dodge & Cox Funds, Mairs & Power Funds, +4 more",373733000,1.65,787,13309950,3.66,9.0,Q4 2025,28.648888888888887,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MDT,Medtronic plc,78.23,9,"Hillman Capital Management, First Eagle Investment Management, Dodge & Cox Funds, Polen Capital Management, Mairs & Power Funds, +4 more",1961457000,1.13,648,22636550,2.99,7.0,Q4 2025,26.125555555555557,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BN,Brookfield Corp.,42.59,8,"Bill Ackman, Stephen Mandel, Arnold Van Den Berg, Chuck Akre, Dodge & Cox Funds, +3 more",6568469000,7.5,139,162304648,17.62,6.0,Q4 2025,29.49875,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
GM,General Motors,77.08,8,"Viking Global Investors, Bill Nygren, Prem Watsa, Francis Chou, Samantha McLemore, +3 more",2787398000,3.41,439,37414744,15.37,4.0,Q4 2025,23.4125,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BABA,Alibaba Group Holdings,95.98,8,"Bill Nygren, David Tepper, Dennis Hong, Sarah Ketterer, Dodge & Cox Funds, +3 more",1860540000,3.23,94,14829757,13.61,7.0,Q4 2025,26.23125,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CPNG,Coupang Inc.,17.37,8,"Bill Nygren, Bill & Melinda Gates Foundation Trust, Henry Ellenbogen, Chase Coleman, Bill Miller, +3 more",2882730000,2.36,249,152687015,6.39,10.0,Q4 2025,28.36375,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
KHC,Kraft Heinz Co.,23.62,8,"Bruce Berkowitz, Bill & Melinda Gates Foundation Trust, Mason Hawkins, Warren Buffett, Prem Watsa, +3 more",7601947000,2.19,562,338016834,6.1,9.0,Q4 2025,27.19375,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
NFLX,Netflix Inc.,71.4,8,"Bill Nygren, Christopher Bloomstran, Chase Coleman, Ruane Cunniff LP, Polen Capital Management, +3 more",1759515000,2.07,700,18299675,7.8,11.0,Q4 2025,29.07125,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BAX,Baxter International Inc.,21.32,8,"Hillman Capital Management, Dodge & Cox Funds, First Pacific Advisors, Mairs & Power Funds, Tweedy Browne, +3 more",2411440000,1.78,102,143534608,3.96,13.0,Q4 2025,30.77875,Higher Price,stocks_under_$100,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
