ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,discount_to_52w_low_pct,recent_buy_count,value_opportunity_score,value_type,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,450.24,38,"Duan Yongping, Lee Ainslie, Viking Global Investors, Bill Nygren, Bill Ackman, +5 more",16208588000,3.89,370.2576315789474,16.75,21.60181495246197,355.51,26.646226547776443,44.0,87.61045183050592,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
AMZN,Amazon.com Inc.,270.64,34,"Lee Ainslie, Viking Global Investors, ValueAct Capital, Bill Nygren, Bill Ackman, +5 more",18261380000,7.25,208.2847058823529,38.2,29.937528947933256,196.0,38.08163265306121,40.0,80.71944777911165,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
META,Meta Platforms Inc.,632.51,30,"Viking Global Investors, ValueAct Capital, Bill Nygren, Bill Ackman, Glenn Greenberg, +5 more",13370664000,4.48,572.1046666666666,21.77,10.558440937963574,520.26,21.57575058624534,35.0,71.16354580402107,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
V,Visa Inc.,326.36,27,"Lee Ainslie, Viking Global Investors, ValueAct Capital, Bill Nygren, Stephen Mandel, +5 more",18164620000,4.7,302.2166666666667,20.39,7.988749793194722,293.28,11.279323513366082,31.0,64.78584863914651,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOGL,Alphabet Inc.,380.34,39,"Viking Global Investors, Li Lu, Bill Nygren, Bill Ackman, Christopher Bloomstran, +5 more",32818850000,4.25,288.66051282051285,22.85,31.760314662952467,161.64,135.30066815144767,22.0,61.36227428473531,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
DIS,Walt Disney Co.,101.83,22,"Duan Yongping, Lee Ainslie, Viking Global Investors, ValueAct Capital, Christopher Bloomstran, +5 more",2998620000,1.79,96.38772727272726,9.85,5.646229951945987,92.19,10.456665581950322,27.0,54.37057581181158,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
BRK.B,Berkshire Hathaway CL B,474.48,25,"Duan Yongping, Li Lu, Bruce Berkowitz, Bill Nygren, Bill & Melinda Gates Foundation Trust, +5 more",15644794000,6.35,479.2032,34.57,-0.9856361560189838,455.19,4.237790812627699,18.0,51.15863769057241,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
GOOG,Alphabet Inc. CL C,376.43,35,"Duan Yongping, Lee Ainslie, Li Lu, Bill Nygren, Bill Ackman, +5 more",18433514000,5.18,286.8554285714286,21.97,31.226381830967103,162.96,130.99533627884142,15.0,51.0416617574865,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
UNH,United Health Group Inc.,380.31,18,"Duan Yongping, David Tepper, Chase Coleman, Arnold Van Den Berg, Hillman Capital Management, +5 more",4042529000,1.47,270.5733333333333,6.55,40.55708865125906,229.79,65.50328560859916,27.0,47.45872460845893,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
NVDA,NVIDIA Corp.,211.14,18,"Duan Yongping, Lee Ainslie, Bill Nygren, Daniel Loeb, David Tepper, +5 more",7805479000,3.51,174.40277777777777,12.07,21.064585490164845,132.89,58.88328692903906,23.0,44.81278009799249,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,Fiserv Inc.,56.56,10,"Bill Nygren, Mason Hawkins, Hillman Capital Management, John Rogers, First Eagle Investment Management, +5 more",4621116000,1.21,55.80899999999999,3.13,1.3456610940887883,52.17,8.414797776499904,28.0,43.186260111175,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
TSM,Taiwan Semiconductor S.A.,418.45,24,"Duan Yongping, Lee Ainslie, Viking Global Investors, Daniel Loeb, Stephen Mandel, +5 more",7988160000,2.79,337.95708333333334,9.03,23.817496550967387,188.26,122.27238924891108,18.0,42.280338870887775,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
AAPL,Apple Inc.,312.06,23,"Duan Yongping, Viking Global Investors, Li Lu, Bruce Berkowitz, Bill Nygren, +5 more",67303352000,4.14,253.76565217391305,36.72,22.971725025314363,194.3,60.60730828615542,15.0,42.03789545525745,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
MA,Mastercard Inc.,493.98,20,"Bill Nygren, Christopher Bloomstran, Glenn Greenberg, Stephen Mandel, Valley Forge Capital Management, +5 more",4829487000,5.32,499.678,22.02,-1.140334375337713,479.68,2.981154102735159,12.0,39.74075916993078,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
CMCSA,Comcast Corp.,24.87,14,"Bill Nygren, Glenn Greenberg, Hillman Capital Management, First Eagle Investment Management, Wallace Weitz, +5 more",5511832000,1.19,28.710714285714285,3.52,-13.37728573205622,23.62,5.292125317527519,17.0,39.00370802339201,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
ADBE,Adobe Inc.,259.21,12,"Bill Nygren, Hillman Capital Management, Dodge & Cox Funds, Samantha McLemore, Polen Capital Management, +5 more",1518878000,0.81,243.11333333333332,2.73,6.621054652151247,224.13,15.651630750011147,20.0,36.62366846249944,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
ELV,Elevance Health Inc.,393.19,12,"Bill Nygren, Glenn Greenberg, Leon Cooperman, Arnold Van Den Berg, Ruane Cunniff LP, +5 more",4048037000,2.84,292.7758333333333,8.13,34.29728660437025,269.17,46.07497120778689,19.0,35.117501439610656,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
TMO,Thermo Fisher Scientific,492.51,12,"Viking Global Investors, Arnold Van Den Berg, Hillman Capital Management, Wallace Weitz, Dodge & Cox Funds, +5 more",1738056000,2.0,491.4766666666667,9.67,0.2102507409642986,384.44,28.11101862449277,18.0,34.59569906877536,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
UBER,Uber Technologies Inc.,70.4,11,"Bill Ackman, David Tepper, Chase Coleman, Pat Dorsey, Polen Capital Management, +5 more",4073814000,3.97,71.92909090909092,15.71,-2.125830995172016,68.46,2.8337715454280046,16.0,34.26620489449027,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
AON,Aon Plc,316.06,11,"Viking Global Investors, Seth Klarman, Wallace Weitz, Dodge & Cox Funds, Polen Capital Management, +5 more",4362012000,1.94,322.7581818181818,4.85,-2.075294197175479,303.79,4.038974291451325,17.0,34.181746488498895,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
INTU,Intuit Inc.,331.53,11,"Lee Ainslie, Valley Forge Capital Management, Arnold Van Den Berg, Hillman Capital Management, Dennis Hong, +5 more",479127000,1.93,432.3718181818182,10.11,-23.32293964159636,300.5,10.326123128119791,13.0,34.114190862822376,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
FERG,Ferguson Enterprises Inc.,225.97,11,"Nelson Peltz, Henry Ellenbogen, Francois Rochon, Ruane Cunniff LP, First Eagle Investment Management, +5 more",2045278000,2.4,233.23727272727277,6.58,-3.1158282045985217,174.38,29.584814772336284,17.0,33.34619762957561,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
CRM,Salesforce.com,191.1,11,"ValueAct Capital, Bill Nygren, AKO Capital, Hillman Capital Management, Chuck Akre, +5 more",4755167000,2.11,186.68090909090907,9.79,2.367189516384311,163.52,16.866438356164373,17.0,33.21349626400996,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
